episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,148,0.4,-58.27,148,4973.0,0,0,1,-58.27,4973.0,0.0
2,260,0.6,-70.24,112,3776.0,0,0,1,-64.255,4374.5,0.0
3,372,0.7,-73.31,112,3469.0,0,0,1,-67.273,4072.7,0.0
4,608,1.0,260.73,236,8873.0,1,0,0,14.728,5272.8,0.25
5,740,1.2,-63.56,132,4444.0,0,0,1,-0.93,5107.0,0.2
6,860,1.3,-63.21,120,4479.0,0,0,1,-11.31,5002.3,0.167
7,972,1.5,-75.39,112,3261.0,0,0,1,-20.464,4753.6,0.143
8,1104,1.6,-59.46,132,4854.0,0,0,1,-25.339,4766.1,0.125
9,1316,1.9,248.54,212,9654.0,1,0,0,5.092,5309.2,0.222
10,1440,2.0,-67.7,124,4030.0,0,0,1,-2.187,5181.3,0.2
11,1552,2.2,-70.76,112,3724.0,0,0,1,-8.421,5048.8,0.182
12,1664,2.3,-75.7,112,3230.0,0,0,1,-14.027,4897.2,0.167
13,1796,2.5,-57.79,132,5021.0,0,0,1,-17.394,4906.8,0.154
14,1920,2.6,-60.15,124,4785.0,0,0,1,-20.448,4898.1,0.143
15,2044,2.8,-70.12,124,3788.0,0,0,1,-23.759,4824.1,0.133
16,2192,4.1,-60.48,148,4752.0,0,0,1,-26.054,4819.6,0.125
17,2304,4.3,-58.73,112,4927.0,0,0,1,-27.976,4825.9,0.118
18,2420,4.5,-80.42,116,2758.0,0,0,1,-30.89,4711.0,0.111
19,2532,4.8,-65.78,112,4222.0,0,0,1,-32.726,4685.3,0.105
20,2748,5.3,239.62,216,8762.0,1,0,0,-19.109,4889.1,0.15
21,2880,5.5,-65.96,132,4204.0,0,0,1,-19.493,4850.6,0.15
22,3004,5.8,-61.41,124,4659.0,0,0,1,-19.052,4894.8,0.15
23,3128,6.0,-62.57,124,4543.0,0,0,1,-18.515,4948.5,0.15
24,3240,6.3,-66.28,112,4172.0,0,0,1,-34.865,4713.4,0.1
25,3368,6.5,-64.38,128,4362.0,0,0,1,-34.907,4709.4,0.1
26,3480,6.8,-67.56,112,4044.0,0,0,1,-35.124,4687.6,0.1
27,3592,7.0,-76.73,112,3127.0,0,0,1,-35.191,4680.9,0.1
28,3712,7.3,-70.14,120,3786.0,0,0,1,-35.725,4627.5,0.1
29,3936,7.7,240.29,224,8829.0,1,0,0,-36.138,4586.2,0.1
30,4140,9.0,-11.63,204,7637.0,0,0,1,-33.334,4766.6,0.1
31,4264,9.2,-71.83,124,3617.0,0,0,1,-33.388,4761.2,0.1
32,4380,9.5,-67.19,116,4081.0,0,0,1,-32.962,4803.8,0.1
33,4532,9.8,-52.24,152,5576.0,0,0,1,-32.684,4831.6,0.1
34,4760,10.3,223.52,228,9152.0,1,0,0,-18.501,5049.9,0.15
35,4988,10.8,283.38,228,11138.0,1,0,0,-0.826,5417.4,0.2
36,5128,11.1,-62.85,140,4515.0,0,0,1,-0.945,5405.6,0.2
37,5240,11.3,-64.16,112,4384.0,0,0,1,-1.216,5378.4,0.2
38,5360,11.5,-62.01,120,4599.0,0,0,1,-0.295,5470.4,0.2
39,5484,11.8,-60.79,124,4721.0,0,0,1,-0.046,5495.4,0.2
40,5596,12.0,-58.68,112,4932.0,0,0,1,-14.961,5303.9,0.15
41,5708,12.2,-64.19,112,4381.0,0,0,1,-14.872,5312.8,0.15
42,5828,12.5,-66.86,120,4114.0,0,0,1,-15.145,5285.5,0.15
43,6056,13.0,222.0,228,9000.0,1,0,0,-0.916,5508.4,0.2
44,6168,14.0,-69.46,112,3854.0,0,0,1,-1.076,5492.4,0.2
45,6388,14.5,230.77,220,7877.0,1,0,0,13.682,5668.2,0.25
46,6616,15.0,266.38,228,9438.0,1,0,0,30.379,5937.9,0.3
47,6728,15.2,-70.33,112,3767.0,0,0,1,30.699,5969.9,0.3
48,6960,15.7,247.3,232,11530.0,1,0,0,46.571,6357.1,0.35
49,7084,15.9,-60.46,124,4754.0,0,0,1,31.533,6153.4,0.3
50,7196,16.2,-74.9,112,3310.0,0,0,1,28.37,5937.0,0.3
51,7316,16.4,-72.78,120,3522.0,0,0,1,28.322,5932.2,0.3
52,7532,16.9,239.93,216,8793.0,1,0,0,43.678,6167.9,0.35
53,7644,17.1,-68.99,112,3901.0,0,0,1,42.841,6084.1,0.35
54,7872,17.6,282.36,228,11036.0,1,0,0,45.783,6178.3,0.35
55,8076,18.0,248.35,204,9635.0,1,0,0,44.032,6103.1,0.35
56,8288,19.3,201.84,212,8984.0,1,0,0,57.266,6326.6,0.4
57,8412,19.5,-59.91,124,4809.0,0,0,1,57.478,6347.9,0.4
58,8536,19.8,-67.65,124,4035.0,0,0,1,57.196,6319.6,0.4
59,8784,20.3,276.82,248,12482.0,1,0,0,74.077,6707.7,0.45
60,8904,20.6,-58.5,120,4950.0,0,0,1,74.086,6708.6,0.45
61,9132,21.1,215.94,228,8394.0,1,0,0,88.093,6909.2,0.5
62,9268,21.4,-60.64,136,4736.0,0,0,1,88.403,6940.4,0.5
63,9480,21.8,229.79,212,9779.0,1,0,0,88.793,6979.3,0.5
64,9604,22.1,-69.57,124,3843.0,0,0,1,88.787,6978.8,0.5
