episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,234,1.9,385.84,234,24184.0,1,0,0,385.84,24184.0,1.0
2,333,2.5,-59.95,99,5605.0,0,0,1,162.945,14894.5,0.5
3,438,3.2,-59.31,105,5669.0,0,0,1,88.86,11819.3,0.333
4,531,3.8,-63.62,93,5238.0,0,0,1,50.74,10174.0,0.25
5,714,5.0,337.05,183,19305.0,1,0,0,108.002,12000.2,0.4
6,798,5.5,-71.69,84,4431.0,0,0,1,78.053,10738.7,0.333
7,897,6.1,-54.96,99,6104.0,0,0,1,59.051,10076.6,0.286
8,1002,6.8,-44.39,105,7161.0,0,0,1,46.121,9712.1,0.25
9,1218,8.2,329.01,216,20501.0,1,0,0,77.553,10910.9,0.333
10,1395,9.3,329.67,177,18567.0,1,0,0,102.765,11676.5,0.4
11,1500,10.0,-42.54,105,7346.0,0,0,1,89.555,11282.8,0.364
12,1602,10.6,-47.83,102,6817.0,0,0,1,78.107,10910.7,0.333
13,1710,11.3,-57.53,108,5847.0,0,0,1,67.673,10521.2,0.308
14,1812,11.9,-54.67,102,6133.0,0,0,1,58.934,10207.7,0.286
15,1920,12.6,-54.64,108,6136.0,0,0,1,51.363,9936.3,0.267
16,2028,13.3,-41.97,108,7403.0,0,0,1,45.529,9777.9,0.25
17,2124,15.3,-76.19,96,3981.0,0,0,1,38.369,9436.9,0.235
18,2232,16.0,-69.71,108,4629.0,0,0,1,32.365,9169.8,0.222
19,2430,17.3,349.79,198,18579.0,1,0,0,49.072,9665.1,0.263
20,2514,17.8,-72.39,84,4361.0,0,0,1,42.998,9399.9,0.25
21,2667,18.7,-8.12,153,8788.0,0,0,1,23.301,8630.0,0.2
22,2766,19.3,-49.09,99,6691.0,0,0,1,23.843,8684.4,0.2
23,2865,19.8,-71.96,99,4404.0,0,0,1,23.211,8621.1,0.2
24,2964,20.4,-69.71,99,4629.0,0,0,1,22.906,8590.6,0.2
25,3162,21.5,377.62,198,21362.0,1,0,0,24.935,8693.5,0.2
26,3255,22.0,-67.82,93,4818.0,0,0,1,25.128,8712.9,0.2
27,3402,22.8,-0.97,147,9503.0,0,0,1,27.828,8882.8,0.2
28,3498,23.4,-69.25,96,4675.0,0,0,1,26.585,8758.5,0.2
29,3591,23.9,-81.93,93,3407.0,0,0,1,6.038,7903.8,0.15
30,3756,24.9,2.72,165,9872.0,0,0,1,-10.309,7469.1,0.1
31,3849,25.4,-56.15,93,5985.0,0,0,1,-10.99,7401.0,0.1
32,3951,25.9,-52.11,102,6389.0,0,0,1,-11.204,7379.6,0.1
