episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,21,0.4,-106.82,21,118.0,0,0,1,-106.82,118.0,0.0
2,105,0.6,-59.74,84,4826.0,0,0,1,-83.28,2472.0,0.0
3,159,0.8,-84.86,54,2314.0,0,0,1,-83.807,2419.3,0.0
4,180,0.8,-107.48,21,52.0,0,0,1,-89.725,1827.5,0.0
5,231,0.9,-87.08,51,2092.0,0,0,1,-89.196,1880.4,0.0
6,264,1.0,-107.65,33,35.0,0,0,1,-92.272,1572.8,0.0
7,315,1.1,-94.34,51,1366.0,0,0,1,-92.567,1543.3,0.0
8,363,1.3,-97.74,48,1026.0,0,0,1,-93.214,1478.6,0.0
9,414,1.4,-91.43,51,1657.0,0,0,1,-93.016,1498.4,0.0
10,462,1.5,-86.84,48,2116.0,0,0,1,-92.398,1560.2,0.0
11,492,1.6,-107.44,30,56.0,0,0,1,-93.765,1423.5,0.0
12,525,1.6,-107.13,33,87.0,0,0,1,-94.879,1312.1,0.0
13,585,1.8,-80.6,60,2740.0,0,0,1,-93.781,1421.9,0.0
14,618,1.9,-102.6,33,540.0,0,0,1,-94.411,1358.9,0.0
15,657,2.0,-102.16,39,584.0,0,0,1,-94.927,1307.3,0.0
16,696,2.1,-96.74,39,1126.0,0,0,1,-95.041,1295.9,0.0
17,738,2.2,-89.58,42,1842.0,0,0,1,-94.719,1328.1,0.0
18,792,2.3,-74.74,54,3326.0,0,0,1,-93.609,1439.1,0.0
19,984,2.8,283.83,192,11183.0,1,0,0,-73.744,1951.9,0.053
20,1011,2.8,-100.09,27,791.0,0,0,1,-75.061,1893.8,0.05
21,1197,3.3,246.79,186,11479.0,1,0,0,-57.381,2461.9,0.1
22,1239,3.4,-85.28,42,2272.0,0,0,1,-58.658,2334.2,0.1
23,1278,3.4,-91.19,39,1681.0,0,0,1,-58.974,2302.6,0.1
24,1338,3.6,-83.89,60,2411.0,0,0,1,-57.795,2420.5,0.1
25,1386,3.7,-82.88,48,2512.0,0,0,1,-57.585,2441.5,0.1
26,1416,3.8,-95.9,30,1210.0,0,0,1,-56.998,2500.2,0.1
27,1458,3.9,-96.66,42,1134.0,0,0,1,-57.114,2488.7,0.1
28,1494,4.0,-87.76,36,2024.0,0,0,1,-56.614,2538.6,0.1
29,1530,4.1,-97.52,36,1048.0,0,0,1,-56.919,2508.1,0.1
30,1557,4.1,-101.68,27,632.0,0,0,1,-57.661,2433.9,0.1
31,1584,4.2,-102.18,27,582.0,0,0,1,-57.398,2460.2,0.1
32,1605,4.2,-107.76,21,24.0,0,0,1,-57.43,2457.1,0.1
33,1623,4.3,-106.8,18,120.0,0,0,1,-58.739,2326.1,0.1
34,1641,4.3,-107.14,18,86.0,0,0,1,-58.967,2303.3,0.1
35,1710,4.5,-86.46,69,2154.0,0,0,1,-58.182,2381.8,0.1
36,1737,4.6,-104.66,27,334.0,0,0,1,-58.578,2342.2,0.1
37,1803,4.7,-80.18,66,2782.0,0,0,1,-58.108,2389.2,0.1
38,1830,4.8,-96.4,27,1160.0,0,0,1,-59.191,2280.9,0.1
39,1869,4.9,-94.2,39,1380.0,0,0,1,-78.092,1790.8,0.05
40,1890,4.9,-101.76,21,624.0,0,0,1,-78.176,1782.5,0.05
41,1956,5.1,-80.47,66,2753.0,0,0,1,-94.539,1346.2,0.0
42,2013,5.2,-84.67,57,2333.0,0,0,1,-94.508,1349.2,0.0
43,2046,5.3,-102.1,33,590.0,0,0,1,-95.054,1294.7,0.0
44,2079,6.4,-96.28,33,1172.0,0,0,1,-95.673,1232.7,0.0
45,2106,6.4,-100.24,27,776.0,0,0,1,-96.541,1145.9,0.0
46,2133,6.5,-102.78,27,522.0,0,0,1,-96.885,1111.5,0.0
47,2199,6.7,-78.31,66,2969.0,0,0,1,-95.968,1203.2,0.0
48,2268,6.8,-86.79,69,2121.0,0,0,1,-95.919,1208.1,0.0
49,2328,7.0,-90.16,60,1784.0,0,0,1,-95.551,1244.9,0.0
50,2355,7.0,-106.15,27,185.0,0,0,1,-95.775,1222.5,0.0
51,2394,7.1,-101.74,39,626.0,0,0,1,-95.753,1224.8,0.0
52,2460,7.3,-80.44,66,2756.0,0,0,1,-94.387,1361.3,0.0
53,2526,7.5,-77.49,66,3051.0,0,0,1,-92.921,1507.9,0.0
54,2547,7.5,-100.44,21,756.0,0,0,1,-92.586,1541.4,0.0
55,2664,7.8,-29.1,117,5890.0,0,0,1,-89.718,1728.2,0.0
56,2691,7.9,-102.02,27,598.0,0,0,1,-89.586,1741.4,0.0
57,2715,7.9,-106.72,24,128.0,0,0,1,-90.913,1608.7,0.0
58,2781,8.1,-84.68,66,2332.0,0,0,1,-90.327,1667.3,0.0
59,2850,8.2,-87.52,69,2048.0,0,0,1,-89.993,1700.7,0.0
60,2880,8.3,-102.06,30,594.0,0,0,1,-90.008,1699.2,0.0
61,2904,8.4,-101.91,24,609.0,0,0,1,-91.08,1592.0,0.0
62,2949,8.5,-91.0,45,1700.0,0,0,1,-91.397,1560.3,0.0
63,2970,8.5,-101.51,21,649.0,0,0,1,-91.367,1563.3,0.0
64,3036,8.7,-77.68,66,3032.0,0,0,1,-90.437,1656.3,0.0
65,3102,8.8,-96.1,66,1190.0,0,0,1,-90.23,1677.0,0.0
66,3162,9.0,-86.75,60,2125.0,0,0,1,-89.428,1757.2,0.0
67,3186,9.0,-106.34,24,166.0,0,0,1,-90.83,1617.0,0.0
68,3252,9.2,-81.56,66,2644.0,0,0,1,-90.568,1643.2,0.0
69,3318,9.4,-70.06,66,3794.0,0,0,1,-89.563,1743.7,0.0
70,3369,9.5,-82.29,51,2571.0,0,0,1,-88.37,1863.0,0.0
71,3408,9.6,-107.66,39,34.0,0,0,1,-88.666,1833.3,0.0
72,3441,9.7,-94.29,33,1371.0,0,0,1,-89.359,1764.1,0.0
73,3471,9.7,-101.06,30,694.0,0,0,1,-90.537,1646.2,0.0
74,3510,9.8,-97.81,39,1019.0,0,0,1,-90.406,1659.4,0.0
75,3534,9.9,-101.56,24,644.0,0,0,1,-94.029,1397.1,0.0
76,3570,10.0,-97.78,36,1022.0,0,0,1,-93.817,1418.3,0.0
77,3600,10.0,-101.96,30,604.0,0,0,1,-93.579,1442.1,0.0
78,3666,10.2,-81.47,66,2653.0,0,0,1,-93.419,1458.2,0.0
79,3735,10.4,-51.91,69,3609.0,0,0,1,-91.638,1536.2,0.0
80,3774,10.5,-102.78,39,522.0,0,0,1,-91.674,1532.6,0.0
81,3816,10.6,-97.87,42,1013.0,0,0,1,-91.472,1552.8,0.0
82,3873,10.7,-79.79,57,2821.0,0,0,1,-90.912,1608.8,0.0
83,3906,10.8,-95.76,33,1224.0,0,0,1,-90.624,1637.6,0.0
84,3972,10.9,-95.55,66,1245.0,0,0,1,-91.517,1548.2,0.0
85,4038,11.1,-78.87,66,2913.0,0,0,1,-90.656,1634.4,0.0
86,4062,11.1,-101.76,24,624.0,0,0,1,-91.406,1559.3,0.0
87,4128,12.1,-76.62,66,3138.0,0,0,1,-89.921,1708.0,0.0
88,4287,12.5,265.28,159,11328.0,1,0,0,-72.578,2142.2,0.05
89,4353,12.6,-75.26,66,3274.0,0,0,1,-72.838,2116.2,0.05
90,4554,13.1,198.75,201,8675.0,1,0,0,-58.787,2421.3,0.1
91,4716,13.5,224.21,162,9221.0,1,0,0,-42.193,2880.7,0.15
92,4782,13.6,-74.98,66,3302.0,0,0,1,-41.227,2977.2,0.15
93,4809,13.7,-100.94,27,706.0,0,0,1,-41.221,2977.8,0.15
