episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,213,0.9,332.0,213,16000.0,1,0,0,332.0,16000.0,1.0
2,312,1.1,-79.23,99,2877.0,0,0,1,126.385,9438.5,0.5
3,414,1.3,-70.73,102,3727.0,0,0,1,60.68,7534.7,0.333
4,534,1.6,-63.47,120,4453.0,0,0,1,29.642,6764.2,0.25
5,714,2.0,291.96,180,11996.0,1,0,0,82.106,7810.6,0.4
6,813,2.2,-67.08,99,4092.0,0,0,1,57.242,7190.8,0.333
7,909,2.4,-82.1,96,2590.0,0,0,1,37.336,6533.6,0.286
8,1011,2.7,-74.96,102,3304.0,0,0,1,23.299,6129.9,0.25
9,1227,3.2,255.88,216,12388.0,1,0,0,49.141,6825.2,0.333
10,1416,3.6,301.49,189,12949.0,1,0,0,74.376,7437.6,0.4
11,1632,4.1,321.57,216,14957.0,1,0,0,96.848,8121.2,0.455
12,1860,4.6,292.44,228,16044.0,1,0,0,113.147,8781.4,0.5
13,1959,4.8,-65.9,99,4210.0,0,0,1,99.375,8429.8,0.462
14,2061,6.1,-62.59,102,4541.0,0,0,1,87.806,8152.0,0.429
15,2157,6.3,-73.73,96,3427.0,0,0,1,77.037,7837.0,0.4
16,2385,6.8,309.86,228,15786.0,1,0,0,91.588,8333.8,0.438
17,2568,7.2,45.84,183,9384.0,0,0,1,88.897,8395.6,0.412
18,2775,7.7,292.71,207,14071.0,1,0,0,100.22,8710.9,0.444
19,2976,8.2,301.76,201,16976.0,1,0,0,110.827,9145.9,0.474
20,3078,8.4,-67.38,102,4062.0,0,0,1,101.917,8891.7,0.45
21,3171,8.6,-64.29,93,4371.0,0,0,1,82.103,8310.2,0.4
22,3351,9.0,298.51,180,12651.0,1,0,0,100.99,8799.0,0.45
23,3447,9.2,-64.84,96,4316.0,0,0,1,101.284,8828.4,0.45
24,3543,9.5,-82.06,96,2594.0,0,0,1,100.354,8735.5,0.45
25,3642,9.7,-77.06,99,3094.0,0,0,1,81.904,8290.4,0.4
26,3741,9.9,-76.63,99,3137.0,0,0,1,81.426,8242.6,0.4
27,3840,10.1,-62.3,99,4570.0,0,0,1,82.416,8341.6,0.4
28,3942,10.3,-81.05,102,2695.0,0,0,1,82.112,8311.1,0.4
29,4140,11.6,317.63,198,14563.0,1,0,0,85.199,8419.9,0.4
30,4239,11.8,-85.42,99,2258.0,0,0,1,65.854,7885.4,0.35
31,4431,12.2,272.49,192,12049.0,1,0,0,63.4,7739.9,0.35
32,4536,12.5,-72.17,105,3583.0,0,0,1,45.169,7116.9,0.3
33,4728,12.9,288.4,192,11640.0,1,0,0,62.884,7488.4,0.35
34,4812,13.1,-81.43,84,2657.0,0,0,1,61.942,7394.2,0.35
35,5034,13.6,315.72,222,16372.0,1,0,0,81.415,8041.4,0.4
36,5226,14.0,304.65,192,15265.0,1,0,0,81.154,8015.4,0.4
37,5322,14.3,-64.69,96,4331.0,0,0,1,75.627,7762.8,0.4
38,5544,14.8,324.18,222,17218.0,1,0,0,77.201,7920.1,0.4
39,5640,15.0,-69.1,96,3890.0,0,0,1,58.658,7265.8,0.35
40,5724,15.2,-79.99,84,2801.0,0,0,1,58.027,7202.8,0.35
41,5817,15.4,-59.15,93,4885.0,0,0,1,58.285,7228.4,0.35
42,5916,15.6,-66.17,99,4183.0,0,0,1,40.051,6805.1,0.3
43,6093,16.0,294.64,177,12264.0,1,0,0,58.024,7202.4,0.35
44,6177,16.9,-75.91,84,3209.0,0,0,1,58.332,7233.2,0.35
45,6276,17.2,-75.52,99,3248.0,0,0,1,58.409,7240.9,0.35
46,6372,17.4,-59.92,96,4808.0,0,0,1,59.244,7324.4,0.35
47,6549,17.8,247.71,177,11571.0,1,0,0,74.745,7674.5,0.4
48,6660,18.0,-65.07,111,4293.0,0,0,1,75.544,7754.4,0.4
49,6753,18.2,-68.4,93,3960.0,0,0,1,56.242,7224.2,0.35
50,6915,18.6,45.83,162,9383.0,0,0,1,62.805,7580.5,0.35
51,7011,18.8,-75.94,96,3206.0,0,0,1,45.384,7138.4,0.3
52,7116,19.1,-72.24,105,3576.0,0,0,1,45.38,7138.0,0.3
53,7296,19.5,271.1,180,11910.0,1,0,0,44.515,7151.5,0.3
54,7503,19.9,332.05,207,16005.0,1,0,0,65.189,7818.9,0.35
55,7701,20.4,286.79,198,15479.0,1,0,0,63.742,7774.2,0.35
56,7791,20.6,-83.28,90,2472.0,0,0,1,44.346,7134.6,0.3
57,7893,20.8,-62.21,102,4579.0,0,0,1,44.47,7147.0,0.3
58,8073,21.2,258.99,180,12699.0,1,0,0,41.211,6921.1,0.3
59,8298,22.5,318.46,225,14646.0,1,0,0,60.588,7458.9,0.35
60,8505,23.0,348.56,207,17656.0,1,0,0,82.016,8201.6,0.4
61,8604,23.2,-73.49,99,3451.0,0,0,1,81.299,8129.9,0.4
62,8697,23.4,-67.99,93,4001.0,0,0,1,81.208,8120.8,0.4
63,8793,23.6,-73.08,96,3492.0,0,0,1,62.822,7682.2,0.35
64,8985,24.1,291.03,192,13903.0,1,0,0,81.169,8216.9,0.4
65,9081,24.3,-71.87,96,3613.0,0,0,1,81.352,8235.1,0.4
66,9279,24.8,308.83,198,15683.0,1,0,0,99.789,8778.9,0.45
67,9372,25.0,-73.76,93,3424.0,0,0,1,83.715,8371.5,0.4
68,9456,25.1,-80.99,84,2701.0,0,0,1,82.919,8292.0,0.4
69,9555,25.4,-70.48,99,3752.0,0,0,1,82.816,8281.5,0.4
70,9639,25.5,-72.62,84,3538.0,0,0,1,76.893,7989.3,0.4
71,9741,25.8,-62.66,102,4534.0,0,0,1,77.557,8055.7,0.4
72,9864,26.0,-48.99,123,5901.0,0,0,1,78.719,8171.9,0.4
73,10089,26.6,338.7,225,18670.0,1,0,0,82.1,8510.0,0.4
74,10188,26.8,-73.18,99,3482.0,0,0,1,61.838,7883.8,0.35
