episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,138,3.9,-47.85,138,6015.0,0,0,1,-47.85,6015.0,0.0
2,261,6.8,-61.98,123,4602.0,0,0,1,-54.915,5308.5,0.0
3,363,9.2,-77.67,102,3033.0,0,0,1,-62.5,4550.0,0.0
4,468,11.0,-66.14,105,4186.0,0,0,1,-63.41,4459.0,0.0
5,576,12.8,-58.85,108,4915.0,0,0,1,-62.498,4550.2,0.0
6,678,15.6,-72.09,102,3591.0,0,0,1,-64.097,4390.3,0.0
7,786,18.3,-77.2,108,3080.0,0,0,1,-65.969,4203.1,0.0
8,891,20.5,-70.38,105,3762.0,0,0,1,-66.52,4148.0,0.0
9,996,22.8,-65.82,105,4218.0,0,0,1,-66.442,4155.8,0.0
10,1101,24.5,-75.98,105,3202.0,0,0,1,-67.396,4060.4,0.0
11,1215,26.5,-58.56,114,4944.0,0,0,1,-66.593,4140.7,0.0
12,1341,28.6,-51.25,126,5675.0,0,0,1,-65.314,4268.6,0.0
13,1449,30.4,-62.17,108,4583.0,0,0,1,-65.072,4292.8,0.0
14,1554,32.2,-64.71,105,4329.0,0,0,1,-65.046,4295.4,0.0
15,1656,33.9,-64.36,102,4364.0,0,0,1,-65.001,4299.9,0.0
16,1758,35.6,-62.27,102,4573.0,0,0,1,-64.83,4317.0,0.0
17,1875,37.6,-60.75,117,4725.0,0,0,1,-64.59,4341.0,0.0
18,1974,39.3,-63.75,99,4425.0,0,0,1,-64.543,4345.7,0.0
19,2073,43.6,-72.47,99,3553.0,0,0,1,-64.961,4303.9,0.0
20,2175,45.3,-77.27,102,3073.0,0,0,1,-65.576,4242.4,0.0
21,2277,47.0,-66.24,102,4176.0,0,0,1,-66.496,4150.4,0.0
22,2379,48.7,-58.38,102,4962.0,0,0,1,-66.316,4168.4,0.0
23,2487,50.6,-54.55,108,5345.0,0,0,1,-65.16,4284.1,0.0
24,2598,52.4,-64.03,111,4397.0,0,0,1,-65.054,4294.6,0.0
25,2700,54.2,-54.81,102,5319.0,0,0,1,-64.852,4314.8,0.0
26,2817,56.1,-62.82,117,4518.0,0,0,1,-64.388,4361.1,0.0
27,2919,57.9,-79.25,102,2875.0,0,0,1,-64.491,4350.9,0.0
28,3027,59.7,-73.28,108,3472.0,0,0,1,-64.636,4336.4,0.0
29,3147,61.7,-47.26,120,6074.0,0,0,1,-63.708,4429.2,0.0
30,3255,63.5,-64.11,108,4389.0,0,0,1,-63.114,4488.6,0.0
31,3357,65.2,-70.41,102,3759.0,0,0,1,-63.707,4429.3,0.0
32,3462,67.0,-69.5,105,3850.0,0,0,1,-64.62,4338.1,0.0
33,3564,68.7,-60.94,102,4706.0,0,0,1,-64.558,4344.2,0.0
34,3669,70.5,-75.79,105,3221.0,0,0,1,-65.112,4288.8,0.0
35,3804,72.8,-45.04,135,6296.0,0,0,1,-64.146,4385.4,0.0
36,3909,74.6,-66.09,105,4191.0,0,0,1,-64.337,4366.3,0.0
37,4056,77.1,-39.68,147,6832.0,0,0,1,-63.283,4471.6,0.0
38,4164,81.5,-69.18,108,3882.0,0,0,1,-63.555,4444.5,0.0
39,4278,83.4,-64.81,114,4319.0,0,0,1,-63.172,4482.8,0.0
40,4386,85.3,-59.32,108,4868.0,0,0,1,-62.275,4572.6,0.0
41,4485,86.9,-73.34,99,3466.0,0,0,1,-62.629,4537.1,0.0
42,4608,89.0,-49.26,123,5874.0,0,0,1,-62.173,4582.6,0.0
43,4716,90.8,-68.24,108,3976.0,0,0,1,-62.858,4514.2,0.0
44,4815,92.4,-65.1,99,4290.0,0,0,1,-62.911,4508.9,0.0
45,4920,94.2,-63.18,105,4482.0,0,0,1,-63.33,4467.0,0.0
46,5025,96.0,-63.41,105,4459.0,0,0,1,-63.36,4464.1,0.0
47,5157,98.2,-55.51,132,5249.0,0,0,1,-62.172,4582.8,0.0
48,5283,100.3,-55.87,126,5213.0,0,0,1,-61.302,4669.8,0.0
49,5403,102.4,-63.93,120,4407.0,0,0,1,-62.136,4586.4,0.0
50,5541,104.7,-37.62,138,7038.0,0,0,1,-60.811,4718.9,0.0
51,5646,106.5,-74.83,105,3317.0,0,0,1,-61.032,4696.8,0.0
52,5748,108.2,-69.42,102,3858.0,0,0,1,-61.028,4697.2,0.0
53,5853,110.0,-63.84,105,4416.0,0,0,1,-61.173,4682.7,0.0
54,5958,111.8,-58.1,105,4990.0,0,0,1,-60.288,4771.1,0.0
55,6060,113.5,-68.84,102,3916.0,0,0,1,-61.478,4652.1,0.0
56,6165,117.9,-70.44,105,3756.0,0,0,1,-61.696,4630.4,0.0
57,6273,119.7,-60.31,108,4769.0,0,0,1,-62.727,4527.2,0.0
58,6399,121.9,-57.62,126,5038.0,0,0,1,-62.149,4585.1,0.0
59,6504,123.7,-63.03,105,4497.0,0,0,1,-62.06,4593.9,0.0
60,6606,125.4,-66.24,102,4176.0,0,0,1,-62.406,4559.4,0.0
61,6711,127.2,-64.02,105,4398.0,0,0,1,-61.94,4605.9,0.0
62,6828,129.2,-56.55,117,5145.0,0,0,1,-62.305,4569.5,0.0
63,6933,130.9,-55.35,105,5265.0,0,0,1,-61.66,4633.9,0.0
64,7035,132.7,-61.55,102,4645.0,0,0,1,-61.483,4651.7,0.0
65,7140,134.5,-73.17,105,3483.0,0,0,1,-61.982,4601.8,0.0
66,7242,136.2,-70.59,102,3741.0,0,0,1,-62.341,4565.9,0.0
67,7353,138.1,-52.32,111,5568.0,0,0,1,-62.182,4581.8,0.0
68,7458,139.9,-70.66,105,3734.0,0,0,1,-62.922,4507.9,0.0
69,7557,141.5,-76.84,99,3116.0,0,0,1,-63.567,4443.3,0.0
70,7659,143.3,-65.36,102,4264.0,0,0,1,-64.954,4304.6,0.0
71,7779,144.9,-56.21,120,5179.0,0,0,1,-64.023,4397.7,0.0
72,7887,146.1,-55.35,108,5265.0,0,0,1,-63.319,4468.1,0.0
73,8007,147.4,-54.96,120,5304.0,0,0,1,-62.876,4512.4,0.0
74,8109,148.6,-64.62,102,4338.0,0,0,1,-63.202,4479.9,0.0
75,8226,153.5,-44.98,117,6302.0,0,0,1,-62.009,4599.1,0.0
76,8328,155.2,-58.88,102,4912.0,0,0,1,-61.431,4656.9,0.0
77,8436,156.9,-63.86,108,4414.0,0,0,1,-61.608,4639.2,0.0
78,8547,158.7,-68.15,111,3985.0,0,0,1,-62.135,4586.6,0.0
79,8670,160.7,-49.89,123,5811.0,0,0,1,-61.478,4652.2,0.0
