episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,222,4.4,444.45,222,15245.0,1,0,0,444.45,15245.0,1.0
2,411,7.7,586.82,189,9482.0,1,0,0,515.635,12363.5,1.0
3,606,11.0,488.37,195,9637.0,1,0,0,506.547,11454.7,1.0
4,807,14.6,517.03,201,12503.0,1,0,0,509.167,11716.8,1.0
5,1011,17.2,302.45,204,11045.0,1,0,0,467.824,11582.4,1.0
6,1248,21.7,405.27,237,11327.0,1,0,0,457.398,11539.8,1.0
7,1467,24.1,320.22,219,12822.0,1,0,0,437.801,11723.0,1.0
8,1683,28.8,418.24,216,12624.0,1,0,0,435.356,11835.6,1.0
9,1893,33.2,397.75,210,10575.0,1,0,0,431.178,11695.6,1.0
10,2130,40.5,554.66,237,16266.0,1,0,0,443.526,12152.6,1.0
11,2328,41.9,399.85,198,10785.0,1,0,0,439.555,12028.3,1.0
12,2520,43.4,398.44,192,10644.0,1,0,0,436.129,11912.9,1.0
13,2748,47.5,603.43,228,11143.0,1,0,0,448.998,11853.7,1.0
14,2952,50.9,508.68,204,11668.0,1,0,0,453.261,11840.4,1.0
15,3180,54.8,546.16,228,15416.0,1,0,0,459.455,12078.8,1.0
16,3378,58.1,506.68,198,11468.0,1,0,0,462.406,12040.6,1.0
17,3579,60.6,617.24,201,12524.0,1,0,0,471.514,12069.1,1.0
18,3810,63.9,419.47,231,12747.0,1,0,0,468.623,12106.7,1.0
19,4002,66.9,394.02,192,10202.0,1,0,0,464.696,12006.5,1.0
20,4209,72.6,637.82,207,14582.0,1,0,0,473.352,12135.2,1.0
21,4401,75.1,394.64,192,10264.0,1,0,0,470.862,11886.2,1.0
22,4602,77.7,528.67,201,13667.0,1,0,0,467.954,12095.5,1.0
23,4779,80.6,494.53,177,10253.0,1,0,0,468.262,12126.2,1.0
24,5001,84.2,618.12,222,12612.0,1,0,0,473.317,12131.7,1.0
25,5178,86.6,594.27,177,10227.0,1,0,0,487.908,12090.8,1.0
26,5376,90.5,610.67,198,11867.0,1,0,0,498.178,12117.8,1.0
27,5601,94.7,549.3,225,15730.0,1,0,0,509.632,12263.2,1.0
28,5787,98.3,379.73,186,8773.0,1,0,0,507.706,12070.6,1.0
29,5991,102.3,610.96,204,11896.0,1,0,0,518.367,12136.7,1.0
30,6183,108.1,504.07,192,11207.0,1,0,0,515.837,11883.8,1.0
31,6369,111.3,593.16,186,10116.0,1,0,0,525.503,11850.3,1.0
32,6546,113.7,391.5,177,9950.0,1,0,0,525.156,11815.6,1.0
33,6759,118.5,648.05,213,15605.0,1,0,0,527.387,12038.7,1.0
34,6963,121.3,394.44,204,10244.0,1,0,0,521.675,11967.5,1.0
35,7158,125.4,519.35,195,12735.0,1,0,0,520.334,11833.5,1.0
36,7359,127.7,520.15,201,12815.0,1,0,0,521.008,11900.8,1.0
37,7542,129.8,379.03,183,8703.0,1,0,0,509.098,11709.8,1.0
38,7758,134.0,591.62,216,9962.0,1,0,0,517.705,11570.5,1.0
39,7932,137.4,526.43,174,13443.0,1,0,0,524.326,11732.5,1.0
40,8130,141.2,514.3,198,12230.0,1,0,0,518.15,11615.0,1.0
41,8313,147.7,473.41,183,8141.0,1,0,0,522.088,11508.8,1.0
42,8514,151.1,501.34,201,10934.0,1,0,0,520.721,11372.1,1.0
43,8700,154.2,626.22,186,13422.0,1,0,0,527.306,11530.6,1.0
44,8865,157.0,586.91,165,9491.0,1,0,0,525.745,11374.5,1.0
45,9051,160.1,499.74,186,10774.0,1,0,0,521.019,11401.9,1.0
46,9222,163.0,595.62,171,10362.0,1,0,0,520.266,11326.6,1.0
47,9435,166.5,653.28,213,16128.0,1,0,0,525.466,11346.5,1.0
48,9618,169.5,589.96,183,9796.0,1,0,0,535.977,11397.7,1.0
49,9828,173.2,318.86,210,12686.0,1,0,0,521.372,11437.2,1.0
50,10020,177.1,622.15,192,13015.0,1,0,0,527.276,11527.6,1.0
51,10242,184.5,500.9,222,10890.0,1,0,0,522.663,11566.3,1.0
52,10449,188.5,645.51,207,15351.0,1,0,0,535.364,11836.4,1.0
53,10644,192.3,622.1,195,13010.0,1,0,0,534.066,11706.6,1.0
54,10845,196.3,526.0,201,13400.0,1,0,0,540.644,11864.4,1.0
55,11046,200.2,529.77,201,13777.0,1,0,0,541.165,11916.5,1.0
56,11238,204.0,501.01,192,10901.0,1,0,0,540.208,11820.8,1.0
57,11427,207.2,600.41,189,10841.0,1,0,0,551.277,11927.7,1.0
58,11619,210.5,614.17,192,12217.0,1,0,0,552.404,12040.5,1.0
59,11820,213.9,306.44,201,11444.0,1,0,0,541.405,11940.5,1.0
