episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,4.0,-61.9,120,4610.0,0,0,1,-61.9,4610.0,0.0
2,216,6.8,-75.33,96,3267.0,0,0,1,-68.615,3938.5,0.0
3,312,9.5,-62.48,96,4552.0,0,0,1,-66.57,4143.0,0.0
4,417,12.4,-72.66,105,3534.0,0,0,1,-68.093,3990.8,0.0
5,510,14.2,-71.76,93,3624.0,0,0,1,-68.826,3917.4,0.0
6,714,18.1,375.5,204,8350.0,1,0,0,5.228,4656.2,0.167
7,798,19.8,-75.35,84,3265.0,0,0,1,-6.283,4457.4,0.143
8,888,22.9,-80.73,90,2727.0,0,0,1,-15.589,4241.1,0.125
9,972,25.3,-73.41,84,3459.0,0,0,1,-22.013,4154.2,0.111
10,1074,27.1,-67.52,102,4048.0,0,0,1,-26.564,4143.6,0.1
11,1293,31.2,498.92,219,10692.0,1,0,0,21.207,4738.9,0.182
12,1392,32.9,-69.69,99,3831.0,0,0,1,13.633,4663.2,0.167
13,1476,34.3,-83.46,84,2454.0,0,0,1,6.164,4493.3,0.154
14,1569,35.8,-71.05,93,3695.0,0,0,1,0.649,4436.3,0.143
15,1674,37.5,-69.31,105,3869.0,0,0,1,-4.015,4398.5,0.133
16,1899,41.1,291.72,225,9972.0,1,0,0,14.468,4746.8,0.188
17,1998,42.8,-70.35,99,3765.0,0,0,1,9.479,4689.1,0.176
18,2085,49.9,-79.86,87,2814.0,0,0,1,4.516,4584.9,0.167
19,2169,52.1,-74.99,84,3301.0,0,0,1,0.331,4517.3,0.158
20,2262,54.5,-76.37,93,3163.0,0,0,1,-3.504,4449.6,0.15
21,2346,56.9,-82.64,84,2536.0,0,0,1,-4.541,4345.9,0.15
22,2592,63.3,199.51,246,10751.0,1,0,0,9.201,4720.1,0.2
23,2685,65.1,-68.77,93,3923.0,0,0,1,8.887,4688.6,0.2
24,2898,69.4,405.02,213,11302.0,1,0,0,32.771,5077.1,0.25
25,2991,72.9,-71.53,93,3647.0,0,0,1,32.782,5078.2,0.25
26,3093,76.0,-69.26,102,3874.0,0,0,1,10.544,4854.4,0.2
27,3372,83.9,296.16,279,10416.0,1,0,0,29.12,5211.9,0.25
28,3456,85.8,-76.95,84,3105.0,0,0,1,29.309,5230.9,0.25
29,3651,89.8,283.74,195,9174.0,1,0,0,47.166,5516.6,0.3
30,3738,91.7,-80.04,87,2796.0,0,0,1,46.54,5454.0,0.3
31,3951,99.0,493.21,213,10121.0,1,0,0,46.255,5425.4,0.3
32,4050,101.8,-84.63,99,2337.0,0,0,1,45.508,5350.8,0.3
33,4230,110.7,606.24,180,11424.0,1,0,0,79.992,5799.2,0.35
34,4317,112.9,-78.04,87,2996.0,0,0,1,79.643,5764.3,0.35
35,4401,114.9,-77.58,84,3042.0,0,0,1,79.23,5722.9,0.35
36,4494,117.4,-73.44,93,3456.0,0,0,1,60.971,5397.1,0.3
37,4701,122.6,493.51,207,10151.0,1,0,0,89.165,5716.4,0.35
38,4788,124.8,-79.3,87,2870.0,0,0,1,89.193,5719.2,0.35
39,5007,130.5,609.82,219,11782.0,1,0,0,123.433,6143.3,0.4
40,5181,135.2,378.55,174,8655.0,1,0,0,146.179,6417.9,0.45
41,5283,138.2,-54.18,102,5382.0,0,0,1,147.602,6560.2,0.45
42,5376,141.0,-64.54,93,4346.0,0,0,1,134.4,6239.9,0.4
43,5475,144.0,-56.02,99,5198.0,0,0,1,135.037,6303.7,0.4
44,5577,147.0,-68.05,102,3995.0,0,0,1,111.383,5938.4,0.35
45,5685,150.2,-55.09,108,5291.0,0,0,1,112.206,6020.6,0.35
46,5778,153.1,-67.42,93,4058.0,0,0,1,112.297,6029.8,0.35
47,5877,156.0,-68.75,99,3925.0,0,0,1,94.052,5705.2,0.3
48,6081,161.4,599.36,204,10736.0,1,0,0,127.867,6086.8,0.35
49,6165,167.9,-74.08,84,3392.0,0,0,1,109.977,5797.6,0.3
50,6252,170.7,-69.67,87,3833.0,0,0,1,110.495,5849.5,0.3
51,6345,173.4,-70.36,93,3764.0,0,0,1,82.317,5531.6,0.25
52,6438,176.1,-77.75,93,3025.0,0,0,1,82.66,5566.1,0.25
53,6663,182.4,292.78,225,10078.0,1,0,0,66.987,5498.8,0.25
54,6885,187.1,486.93,222,9493.0,1,0,0,95.236,5823.6,0.3
55,7068,193.4,405.51,183,11351.0,1,0,0,119.391,6239.1,0.35
56,7161,196.1,-84.58,93,2342.0,0,0,1,118.834,6183.4,0.35
57,7257,198.9,-75.5,96,3250.0,0,0,1,90.383,5838.3,0.3
58,7356,201.7,-66.2,99,4180.0,0,0,1,91.038,5903.8,0.3
59,7542,205.6,491.82,186,9982.0,1,0,0,85.138,5813.8,0.3
60,7749,212.4,373.45,207,8145.0,1,0,0,84.883,5788.3,0.3
61,7845,215.4,-82.01,96,2599.0,0,0,1,83.492,5649.1,0.3
62,7932,218.0,-80.72,87,2728.0,0,0,1,82.682,5568.2,0.3
63,8028,220.1,-79.96,96,2804.0,0,0,1,81.485,5448.6,0.3
64,8112,221.9,-75.45,84,3255.0,0,0,1,81.115,5411.6,0.3
65,8199,227.4,-70.4,87,3760.0,0,0,1,80.35,5335.0,0.3
66,8283,228.9,-77.1,84,3090.0,0,0,1,79.866,5286.6,0.3
67,8469,232.7,292.17,186,10017.0,1,0,0,97.912,5591.2,0.35
68,8577,235.8,-69.63,108,3837.0,0,0,1,64.463,5246.2,0.3
69,8778,239.7,592.34,201,10034.0,1,0,0,97.784,5578.4,0.35
70,8880,242.3,-66.51,102,4149.0,0,0,1,97.942,5594.1,0.35
71,8979,246.0,-73.32,99,3468.0,0,0,1,97.794,5579.4,0.35
72,9228,253.5,380.49,249,8849.0,1,0,0,120.705,5870.6,0.4
73,9417,257.8,495.29,189,10329.0,1,0,0,130.831,5883.1,0.4
74,9504,259.6,-77.66,87,3034.0,0,0,1,102.602,5560.1,0.35
75,9675,265.2,574.48,171,8248.0,1,0,0,111.05,5405.0,0.35
76,9768,267.7,-76.68,93,3132.0,0,0,1,111.445,5444.5,0.35
77,9864,270.4,-71.42,96,3658.0,0,0,1,111.649,5464.9,0.35
78,10062,275.9,375.43,198,8343.0,1,0,0,133.73,5673.1,0.4
79,10161,278.7,-72.86,99,3514.0,0,0,1,105.496,5349.6,0.35
80,10398,289.7,190.56,237,9856.0,1,0,0,96.352,5435.2,0.35
81,10602,294.4,512.65,204,12065.0,1,0,0,126.085,5908.5,0.4
82,10701,296.3,-77.92,99,3008.0,0,0,1,126.225,5922.5,0.4
83,10806,298.3,-68.62,105,3938.0,0,0,1,126.792,5979.2,0.4
84,10902,300.3,-79.99,96,2801.0,0,0,1,126.565,5956.5,0.4
85,11181,308.6,302.21,279,11021.0,1,0,0,145.196,6319.6,0.45
86,11268,311.2,-74.77,87,3323.0,0,0,1,145.312,6331.2,0.45
87,11457,315.7,381.19,189,8919.0,1,0,0,149.763,6276.3,0.45
88,11562,317.6,-66.74,105,4126.0,0,0,1,149.908,6290.8,0.45
89,11655,320.8,-67.0,93,4100.0,0,0,1,116.941,5994.1,0.4
90,11751,323.5,-66.83,96,4117.0,0,0,1,116.925,5992.4,0.4
