episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,3.2,-61.9,120,4610.0,0,0,1,-61.9,4610.0,0.0
2,216,5.4,-75.33,96,3267.0,0,0,1,-68.615,3938.5,0.0
3,312,7.7,-62.48,96,4552.0,0,0,1,-66.57,4143.0,0.0
4,417,10.3,-72.66,105,3534.0,0,0,1,-68.093,3990.8,0.0
5,510,12.5,-71.76,93,3624.0,0,0,1,-68.826,3917.4,0.0
6,714,17.3,375.5,204,8350.0,1,0,0,5.228,4656.2,0.167
7,798,19.3,-75.35,84,3265.0,0,0,1,-6.283,4457.4,0.143
8,888,21.5,-80.73,90,2727.0,0,0,1,-15.589,4241.1,0.125
9,972,23.4,-73.41,84,3459.0,0,0,1,-22.013,4154.2,0.111
10,1074,25.9,-67.52,102,4048.0,0,0,1,-26.564,4143.6,0.1
11,1293,31.1,498.92,219,10692.0,1,0,0,21.207,4738.9,0.182
12,1392,33.4,-69.69,99,3831.0,0,0,1,13.633,4663.2,0.167
13,1476,35.4,-83.46,84,2454.0,0,0,1,6.164,4493.3,0.154
14,1569,37.6,-71.05,93,3695.0,0,0,1,0.649,4436.3,0.143
15,1674,40.1,-69.31,105,3869.0,0,0,1,-4.015,4398.5,0.133
16,1899,45.0,291.72,225,9972.0,1,0,0,14.468,4746.8,0.188
17,1998,47.0,-70.35,99,3765.0,0,0,1,9.479,4689.1,0.176
18,2085,52.0,-79.86,87,2814.0,0,0,1,4.516,4584.9,0.167
19,2169,53.6,-74.99,84,3301.0,0,0,1,0.331,4517.3,0.158
20,2262,55.5,-76.37,93,3163.0,0,0,1,-3.504,4449.6,0.15
21,2346,57.1,-82.64,84,2536.0,0,0,1,-4.541,4345.9,0.15
22,2592,62.0,199.51,246,10751.0,1,0,0,9.201,4720.1,0.2
23,2685,63.8,-68.77,93,3923.0,0,0,1,8.887,4688.6,0.2
24,2895,67.9,303.59,210,11159.0,1,0,0,27.699,5069.9,0.25
25,3141,73.5,178.99,246,8699.0,1,0,0,40.236,5323.6,0.3
26,3228,75.5,-74.71,87,3329.0,0,0,1,17.726,5072.6,0.25
27,3327,77.8,-58.28,99,4972.0,0,0,1,18.58,5157.9,0.25
28,3411,79.7,-79.44,84,2856.0,0,0,1,18.644,5164.4,0.25
29,3495,81.6,-79.43,84,2857.0,0,0,1,18.343,5134.3,0.25
30,3696,86.2,481.97,201,8997.0,1,0,0,45.817,5381.8,0.3
31,3795,88.5,-75.33,99,3267.0,0,0,1,17.105,5010.5,0.25
