episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,222,3.9,284.45,222,15245.0,1,0,0,284.45,15245.0,1.0
2,411,7.2,266.82,189,9482.0,1,0,0,275.635,12363.5,1.0
3,606,10.5,248.37,195,9637.0,1,0,0,266.547,11454.7,1.0
4,807,14.1,277.03,201,12503.0,1,0,0,269.168,11716.8,1.0
5,1011,16.7,222.45,204,11045.0,1,0,0,259.824,11582.4,1.0
6,1248,21.1,245.27,237,11327.0,1,0,0,257.398,11539.8,1.0
7,1467,23.4,240.22,219,12822.0,1,0,0,254.944,11723.0,1.0
8,1683,27.5,258.24,216,12624.0,1,0,0,255.356,11835.6,1.0
9,1893,31.9,237.75,210,10575.0,1,0,0,253.4,11695.6,1.0
10,2121,39.7,349.68,228,17768.0,1,0,0,263.028,12302.8,1.0
11,2361,41.5,308.76,240,15676.0,1,0,0,267.185,12609.5,1.0
12,2550,42.8,250.35,189,9835.0,1,0,0,265.782,12378.2,1.0
13,2754,44.4,226.2,204,9420.0,1,0,0,262.738,12150.7,1.0
14,2967,48.9,315.16,213,14316.0,1,0,0,266.482,12305.4,1.0
15,3213,53.0,284.85,246,15285.0,1,0,0,267.707,12504.0,1.0
16,3417,56.5,285.86,204,13386.0,1,0,0,268.841,12559.1,1.0
17,3624,59.7,273.16,207,10116.0,1,0,0,269.095,12415.4,1.0
18,3891,63.0,367.87,267,19587.0,1,0,0,274.583,12813.8,1.0
19,4143,69.4,378.56,252,22656.0,1,0,0,280.055,13331.8,1.0
20,4371,73.1,245.02,228,13302.0,1,0,0,278.304,13330.4,1.0
21,4602,75.8,331.8,231,15980.0,1,0,0,280.671,13367.1,1.0
22,4842,79.4,325.79,240,15379.0,1,0,0,283.62,13662.0,1.0
23,5040,82.6,286.57,198,13457.0,1,0,0,285.529,13853.0,1.0
24,5256,85.8,304.15,216,17215.0,1,0,0,286.885,14088.5,1.0
25,5445,89.3,213.44,189,8144.0,1,0,0,286.435,13943.5,1.0
26,5640,92.9,282.54,195,13054.0,1,0,0,288.298,14029.9,1.0
27,5820,96.4,247.85,180,9585.0,1,0,0,288.68,13868.0,1.0
28,6024,100.4,259.13,204,10713.0,1,0,0,288.725,13772.5,1.0
29,6231,106.6,309.45,207,13745.0,1,0,0,292.31,13931.0,1.0
30,6459,110.8,286.66,228,13466.0,1,0,0,289.159,13715.9,1.0
31,6681,113.8,298.08,222,12608.0,1,0,0,288.625,13562.5,1.0
32,6867,118.2,266.21,186,11421.0,1,0,0,289.418,13641.8,1.0
33,7080,121.2,324.23,213,17223.0,1,0,0,294.319,14031.9,1.0
34,7296,125.5,280.75,216,14875.0,1,0,0,292.599,14059.9,1.0
35,7533,128.2,311.12,237,19912.0,1,0,0,293.912,14291.2,1.0
36,7740,131.2,228.83,207,11683.0,1,0,0,291.06,14206.0,1.0
37,7917,134.6,296.67,177,12467.0,1,0,0,292.236,14323.6,1.0
38,8127,138.7,312.71,210,16071.0,1,0,0,289.478,14147.8,1.0
39,8328,145.5,300.83,201,14883.0,1,0,0,285.591,13759.1,1.0
40,8523,149.1,302.36,195,13036.0,1,0,0,288.459,13745.9,1.0
41,8703,152.1,239.83,180,12783.0,1,0,0,283.86,13586.0,1.0
42,8868,154.9,236.72,165,10472.0,1,0,0,279.406,13340.6,1.0
43,9063,158.1,324.7,195,15270.0,1,0,0,281.313,13431.3,1.0
44,9264,161.5,270.59,201,15859.0,1,0,0,279.635,13363.5,1.0
45,9435,164.3,303.47,171,13147.0,1,0,0,284.137,13613.6,1.0
46,9630,167.5,314.33,195,14233.0,1,0,0,285.726,13672.6,1.0
47,9816,170.7,197.78,186,10578.0,1,0,0,283.222,13722.2,1.0
48,10014,174.3,345.66,198,17366.0,1,0,0,287.549,14054.9,1.0
49,10230,178.6,272.32,216,14032.0,1,0,0,285.692,14069.2,1.0
50,10446,185.9,340.77,216,16877.0,1,0,0,288.398,14239.8,1.0
51,10638,189.7,263.21,192,13121.0,1,0,0,286.654,14265.5,1.0
52,10854,193.9,299.72,216,12772.0,1,0,0,288.33,14333.0,1.0
53,11058,197.9,320.48,204,14848.0,1,0,0,288.143,14214.2,1.0
54,11274,202.2,323.31,216,17131.0,1,0,0,290.271,14327.0,1.0
55,11490,206.1,299.58,216,14758.0,1,0,0,289.694,14069.4,1.0
56,11676,209.3,239.4,186,10740.0,1,0,0,290.222,14022.2,1.0
57,11877,212.7,315.6,201,16360.0,1,0,0,291.168,14216.9,1.0
58,12066,216.0,286.97,189,11497.0,1,0,0,289.882,13988.1,1.0
59,12315,223.8,360.87,249,20887.0,1,0,0,292.884,14288.4,1.0
60,12537,228.4,349.73,222,19773.0,1,0,0,295.252,14625.2,1.0
61,12786,233.4,419.99,249,24799.0,1,0,0,304.26,15226.0,1.0
62,13002,237.7,369.81,216,19781.0,1,0,0,310.914,15691.5,1.0
63,13197,241.5,290.03,195,15803.0,1,0,0,309.181,15718.1,1.0
64,13482,247.1,378.52,285,24652.0,1,0,0,314.578,16157.8,1.0
65,13767,252.8,382.0,285,25000.0,1,0,0,318.504,16750.4,1.0
66,13983,257.1,321.01,216,16901.0,1,0,0,318.838,16883.8,1.0
67,14241,262.2,437.05,258,26505.0,1,0,0,330.802,17680.2,1.0
68,14403,268.6,286.79,162,11479.0,1,0,0,327.858,17385.8,1.0
69,14610,272.9,324.25,207,19225.0,1,0,0,330.454,17645.5,1.0
70,14844,277.8,401.85,234,22985.0,1,0,0,333.509,17950.8,1.0
71,15108,283.4,380.37,264,22837.0,1,0,0,339.366,18436.7,1.0
72,15336,288.1,356.76,228,20476.0,1,0,0,342.219,18821.8,1.0
73,15507,291.7,269.66,171,11766.0,1,0,0,339.678,18667.8,1.0
74,15723,296.2,295.89,216,16389.0,1,0,0,338.307,18630.7,1.0
75,15900,299.9,283.78,177,11178.0,1,0,0,337.517,18451.7,1.0
76,16086,303.8,296.35,186,12435.0,1,0,0,340.364,18536.4,1.0
77,16293,308.1,354.01,207,20201.0,1,0,0,342.285,18728.5,1.0
78,16569,316.8,388.09,276,23609.0,1,0,0,347.341,19334.0,1.0
79,16773,321.1,369.82,204,19782.0,1,0,0,347.788,19278.8,1.0
80,17040,326.7,390.73,267,23873.0,1,0,0,349.838,19483.8,1.0
81,17241,330.9,319.81,201,16781.0,1,0,0,344.829,19082.9,1.0
82,17424,334.7,309.5,183,13750.0,1,0,0,341.813,18781.3,1.0
83,17634,339.1,384.18,210,21218.0,1,0,0,346.521,19052.1,1.0
84,17889,344.4,420.53,255,24853.0,1,0,0,348.622,19062.2,1.0
85,18099,348.8,353.89,210,20189.0,1,0,0,347.216,18821.6,1.0
86,18303,353.1,288.96,204,15696.0,1,0,0,345.614,18761.3,1.0
87,18504,360.4,368.48,201,19648.0,1,0,0,342.185,18418.5,1.0
88,18708,364.8,256.18,204,12418.0,1,0,0,340.654,18465.5,1.0
89,18909,369.0,270.17,201,11817.0,1,0,0,337.951,18095.0,1.0
90,19107,373.2,333.74,198,18174.0,1,0,0,334.545,17854.5,1.0
91,19335,378.0,395.47,228,24347.0,1,0,0,335.3,17930.0,1.0
92,19554,382.6,346.01,219,19401.0,1,0,0,334.763,17876.2,1.0
93,19758,386.9,262.8,204,15080.0,1,0,0,334.42,18042.0,1.0
94,19953,391.1,284.18,195,13218.0,1,0,0,333.834,17883.4,1.0
95,20145,395.1,338.34,192,16634.0,1,0,0,336.562,18156.2,1.0
96,20382,400.1,373.52,237,22152.0,1,0,0,340.421,18642.0,1.0
97,20646,406.5,389.19,264,23719.0,1,0,0,342.179,18818.0,1.0
98,20913,411.0,465.74,267,29374.0,1,0,0,346.062,19106.2,1.0
99,21159,415.8,448.23,246,27623.0,1,0,0,349.982,19498.2,1.0
100,21345,419.6,310.08,186,15808.0,1,0,0,345.95,19095.0,1.0
101,21546,423.6,349.57,201,17757.0,1,0,0,347.438,19143.8,1.0
102,21750,427.8,182.25,204,9025.0,1,0,0,341.076,18907.5,1.0
103,21954,432.0,295.36,204,16336.0,1,0,0,336.635,18663.5,1.0
104,22140,435.9,327.68,186,17568.0,1,0,0,331.992,18299.2,1.0
105,22386,441.0,450.26,246,27826.0,1,0,0,336.81,18681.0,1.0
106,22569,448.0,320.32,183,16832.0,1,0,0,338.379,18737.8,1.0
107,22776,452.4,353.86,207,20186.0,1,0,0,337.647,18764.8,1.0
108,22983,456.5,338.69,207,18669.0,1,0,0,341.773,19077.3,1.0
109,23169,458.7,326.61,186,17461.0,1,0,0,344.595,19359.5,1.0
110,23385,461.5,386.85,216,21485.0,1,0,0,347.25,19525.0,1.0
111,23598,465.8,365.13,213,21313.0,1,0,0,345.733,19373.3,1.0
112,23805,470.0,346.53,207,19453.0,1,0,0,345.76,19376.0,1.0
113,24018,474.5,375.5,213,22350.0,1,0,0,351.395,19739.5,1.0
114,24258,479.5,432.21,240,26021.0,1,0,0,358.796,20379.6,1.0
115,24498,484.6,411.13,240,23913.0,1,0,0,362.435,20743.5,1.0
116,24690,491.0,306.65,192,13465.0,1,0,0,359.092,20309.2,1.0
117,24915,493.8,381.22,225,22922.0,1,0,0,358.694,20269.3,1.0
118,25116,497.2,379.46,201,20746.0,1,0,0,354.38,19838.0,1.0
119,25347,501.9,388.28,231,23628.0,1,0,0,351.382,19638.2,1.0
120,25527,505.5,302.06,180,15006.0,1,0,0,350.981,19598.1,1.0
121,25728,509.6,343.85,201,17185.0,1,0,0,350.695,19569.5,1.0
122,25968,514.6,387.3,240,23530.0,1,0,0,360.947,20294.8,1.0
123,26184,519.1,380.0,216,22800.0,1,0,0,365.18,20618.0,1.0
124,26412,524.0,412.52,228,24052.0,1,0,0,369.422,20942.2,1.0
125,26565,527.2,278.55,153,12655.0,1,0,0,360.836,20183.6,1.0
126,26799,535.4,447.45,234,27545.0,1,0,0,367.192,20719.2,1.0
127,26976,537.6,344.8,177,17280.0,1,0,0,366.74,20574.0,1.0
128,27189,540.1,395.17,213,22317.0,1,0,0,369.563,20756.3,1.0
129,27384,543.8,345.85,195,17385.0,1,0,0,370.526,20752.5,1.0
130,27579,547.7,276.62,195,16462.0,1,0,0,365.014,20501.4,1.0
131,27762,551.4,273.43,183,16143.0,1,0,0,360.429,20242.9,1.0
132,28041,556.9,502.45,279,35045.0,1,0,0,368.225,21022.5,1.0
133,28242,561.0,363.75,201,21175.0,1,0,0,367.637,20963.8,1.0
134,28425,564.8,342.78,183,17078.0,1,0,0,363.166,20516.6,1.0
135,28608,568.6,325.04,183,17304.0,1,0,0,358.861,20186.2,1.0
136,28791,575.6,316.91,183,16491.0,1,0,0,359.375,20337.5,1.0
137,28959,579.2,294.26,168,14226.0,1,0,0,355.026,19902.7,1.0
138,29202,583.0,424.26,243,25226.0,1,0,0,357.267,20126.7,1.0
139,29406,585.5,399.3,204,22730.0,1,0,0,357.818,20081.8,1.0
140,29658,590.2,422.46,252,27046.0,1,0,0,363.838,20683.8,1.0
141,29922,595.7,462.36,264,31036.0,1,0,0,369.763,21376.3,1.0
142,30114,599.7,301.03,192,14903.0,1,0,0,365.45,20945.0,1.0
143,30315,602.3,398.21,201,22621.0,1,0,0,366.36,20936.0,1.0
144,30516,604.7,327.65,201,17565.0,1,0,0,362.116,20611.7,1.0
145,30681,607.9,327.34,165,15534.0,1,0,0,364.556,20755.6,1.0
146,30960,616.5,492.43,279,32043.0,1,0,0,366.805,20980.5,1.0
147,31119,619.6,261.72,159,10972.0,1,0,0,362.651,20665.1,1.0
148,31347,624.1,438.08,228,26608.0,1,0,0,364.797,20879.7,1.0
149,31545,628.1,350.01,198,19801.0,1,0,0,365.005,21000.5,1.0
150,31797,633.3,463.65,252,29165.0,1,0,0,374.356,21635.6,1.0
151,32031,637.9,465.77,234,29377.0,1,0,0,383.973,22297.3,1.0
152,32274,643.0,425.13,243,25313.0,1,0,0,380.107,21810.7,1.0
153,32487,647.4,341.02,213,20902.0,1,0,0,378.971,21797.0,1.0
154,32688,651.6,261.22,201,12922.0,1,0,0,374.892,21589.2,1.0
155,32907,659.3,429.95,219,27795.0,1,0,0,380.138,22113.8,1.0
156,33162,664.6,448.42,255,27642.0,1,0,0,386.714,22671.3,1.0
157,33375,668.9,410.54,213,23854.0,1,0,0,392.528,23152.8,1.0
158,33666,675.0,494.2,291,34220.0,1,0,0,396.024,23602.5,1.0
159,33891,679.7,409.53,225,23753.0,1,0,0,396.536,23653.6,1.0
160,34089,683.6,369.37,198,19737.0,1,0,0,393.881,23288.2,1.0
161,34344,688.9,428.83,255,27683.0,1,0,0,392.205,23120.5,1.0
162,34506,692.3,314.68,162,14268.0,1,0,0,392.887,23088.8,1.0
163,34689,696.2,338.62,183,16662.0,1,0,0,389.908,22790.8,1.0
164,34881,703.3,385.38,192,21338.0,1,0,0,392.795,22979.5,1.0
165,35055,707.0,342.67,174,17067.0,1,0,0,393.561,23056.1,1.0
166,35241,710.9,372.68,186,20068.0,1,0,0,387.574,22457.3,1.0
167,35436,713.6,392.56,195,22056.0,1,0,0,394.115,23011.5,1.0
168,35661,716.4,422.58,225,25058.0,1,0,0,393.341,22934.0,1.0
169,35892,720.2,418.91,231,24691.0,1,0,0,396.786,23178.5,1.0
170,36141,724.9,507.83,249,33583.0,1,0,0,398.995,23399.5,1.0
171,36336,728.5,410.22,195,23822.0,1,0,0,396.217,23121.7,1.0
172,36549,732.3,405.89,213,23389.0,1,0,0,395.255,23025.5,1.0
173,36732,735.2,283.48,183,17148.0,1,0,0,392.378,22837.8,1.0
174,36945,739.9,428.28,213,25628.0,1,0,0,400.731,23473.1,1.0
175,37134,743.1,347.06,189,17506.0,1,0,0,396.587,22958.7,1.0
176,37353,746.9,407.47,219,25547.0,1,0,0,394.539,22853.9,1.0
177,37614,751.5,518.3,261,34630.0,1,0,0,399.927,23392.7,1.0
178,37797,754.6,340.25,183,16825.0,1,0,0,392.23,22523.0,1.0
179,37977,757.7,364.71,180,19271.0,1,0,0,389.989,22298.8,1.0
180,38160,761.2,354.51,183,18251.0,1,0,0,389.246,22224.5,1.0
181,38346,765.1,357.24,186,18524.0,1,0,0,385.666,21766.6,1.0
182,38565,769.6,414.79,219,26279.0,1,0,0,390.672,22367.2,1.0
183,38751,773.2,373.09,186,20109.0,1,0,0,392.395,22539.5,1.0
184,39006,781.5,461.6,255,28960.0,1,0,0,396.206,22920.6,1.0
185,39192,785.3,323.87,186,17187.0,1,0,0,395.266,22926.6,1.0
186,39441,790.5,455.64,249,28364.0,1,0,0,399.414,23341.4,1.0
187,39693,795.8,523.03,252,35103.0,1,0,0,405.938,23993.8,1.0
188,39879,799.7,329.28,186,17728.0,1,0,0,401.272,23627.2,1.0
189,40119,804.8,457.58,240,28558.0,1,0,0,403.206,23820.6,1.0
190,40368,810.1,472.41,249,30041.0,1,0,0,401.435,23643.5,1.0
191,40542,813.7,334.18,174,16218.0,1,0,0,397.633,23263.3,1.0
192,40728,817.0,373.32,186,20132.0,1,0,0,396.005,23100.5,1.0
193,40977,822.1,484.21,249,31221.0,1,0,0,406.041,23804.1,1.0
194,41220,826.3,506.88,243,33488.0,1,0,0,409.971,24197.1,1.0
195,41409,829.6,382.1,189,21010.0,1,0,0,411.723,24372.3,1.0
196,41667,834.0,475.8,258,30380.0,1,0,0,415.14,24614.0,1.0
197,41937,838.6,516.6,270,34460.0,1,0,0,415.055,24605.5,1.0
198,42129,841.9,374.36,192,20236.0,1,0,0,416.76,24776.0,1.0
199,42345,846.3,424.28,216,25228.0,1,0,0,419.739,25073.8,1.0
200,42567,850.8,410.85,222,23885.0,1,0,0,422.556,25355.5,1.0
201,42813,855.8,441.57,246,26957.0,1,0,0,426.772,25777.2,1.0
202,43068,864.0,432.71,255,26071.0,1,0,0,427.668,25766.8,1.0
203,43326,869.2,471.55,258,29955.0,1,0,0,432.591,26259.1,1.0
204,43614,875.2,496.87,288,36487.0,1,0,0,434.355,26635.5,1.0
205,43893,880.7,479.05,279,32705.0,1,0,0,442.114,27411.3,1.0
206,44094,884.8,395.98,201,22398.0,1,0,0,439.13,27113.0,1.0
207,44319,889.4,405.93,225,25393.0,1,0,0,433.276,26627.5,1.0
208,44553,894.2,424.94,234,27294.0,1,0,0,438.059,27105.8,1.0
209,44745,898.0,381.53,192,20953.0,1,0,0,434.256,26725.6,1.0
210,44985,903.0,474.02,240,30202.0,1,0,0,434.337,26733.7,1.0
211,45216,909.8,458.39,231,28639.0,1,0,0,440.547,27354.7,1.0
212,45429,912.2,352.25,213,20025.0,1,0,0,439.493,27349.3,1.0
213,45681,916.9,468.27,252,31627.0,1,0,0,438.697,27369.7,1.0
214,45933,921.9,518.16,252,34616.0,1,0,0,439.261,27426.0,1.0
215,46137,925.8,390.93,204,21893.0,1,0,0,439.702,27470.2,1.0
216,46380,930.1,438.2,243,26620.0,1,0,0,437.822,27282.2,1.0
217,46602,934.0,384.45,222,21245.0,1,0,0,431.215,26621.5,1.0
218,46878,939.0,482.76,276,31076.0,1,0,0,436.635,27163.5,1.0
219,47121,946.1,422.17,243,25017.0,1,0,0,436.529,27152.9,1.0
220,47364,950.6,403.1,243,25110.0,1,0,0,436.142,27214.2,1.0
221,47643,956.5,524.05,279,37205.0,1,0,0,440.265,27726.5,1.0
222,47874,960.6,456.21,231,28421.0,1,0,0,441.44,27844.0,1.0
223,48156,965.8,447.5,282,27550.0,1,0,0,440.238,27723.8,1.0
224,48399,970.3,428.6,243,25660.0,1,0,0,436.825,27182.5,1.0
225,48609,973.9,381.88,210,20988.0,1,0,0,431.966,26596.6,1.0
226,48888,977.4,501.36,279,32936.0,1,0,0,437.235,27123.5,1.0
227,49143,981.3,510.06,255,33806.0,1,0,0,442.442,27544.2,1.0
228,49422,989.6,362.19,279,19019.0,1,0,0,439.304,27130.4,1.0
229,49719,995.4,425.47,297,27347.0,1,0,0,441.501,27450.1,1.0
230,50016,1001.2,467.7,297,31570.0,1,0,0,441.185,27518.5,1.0
231,50262,1005.2,442.61,246,27061.0,1,0,0,440.396,27439.6,1.0
232,50532,1008.5,428.62,270,25662.0,1,0,0,444.215,27721.5,1.0
233,50802,1013.2,376.73,270,22473.0,1,0,0,439.637,27263.8,1.0
234,51099,1019.3,423.38,297,29138.0,1,0,0,434.898,26989.8,1.0
235,51396,1028.6,425.65,297,27365.0,1,0,0,436.634,27263.5,1.0
236,51639,1033.4,435.28,243,28328.0,1,0,0,436.489,27348.8,1.0
237,51867,1038.2,377.92,228,22592.0,1,0,0,436.162,27416.2,1.0
238,52095,1042.9,370.01,228,21801.0,1,0,0,430.524,26952.5,1.0
239,52392,1048.4,432.37,297,26037.0,1,0,0,431.035,27003.5,1.0
