episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,4.3,-61.9,120,4610.0,0,0,1,-61.9,4610.0,0.0
2,216,7.0,-75.33,96,3267.0,0,0,1,-68.615,3938.5,0.0
3,312,9.7,-62.48,96,4552.0,0,0,1,-66.57,4143.0,0.0
4,417,12.5,-72.66,105,3534.0,0,0,1,-68.093,3990.8,0.0
5,510,14.2,-71.76,93,3624.0,0,0,1,-68.826,3917.4,0.0
6,714,18.2,215.5,204,8350.0,1,0,0,-21.438,4656.2,0.167
7,798,19.9,-75.35,84,3265.0,0,0,1,-29.14,4457.4,0.143
8,888,23.1,-80.73,90,2727.0,0,0,1,-35.589,4241.1,0.125
9,972,25.4,-73.41,84,3459.0,0,0,1,-39.791,4154.2,0.111
10,1074,27.1,-67.52,102,4048.0,0,0,1,-42.564,4143.6,0.1
11,1293,31.2,258.92,219,10692.0,1,0,0,-15.156,4738.9,0.182
12,1392,32.9,-69.69,99,3831.0,0,0,1,-19.701,4663.2,0.167
13,1476,34.3,-83.46,84,2454.0,0,0,1,-24.605,4493.3,0.154
14,1569,35.8,-71.05,93,3695.0,0,0,1,-27.923,4436.3,0.143
15,1674,37.5,-69.31,105,3869.0,0,0,1,-30.682,4398.5,0.133
16,1899,41.1,211.72,225,9972.0,1,0,0,-15.532,4746.8,0.188
17,1998,42.7,-70.35,99,3765.0,0,0,1,-18.756,4689.1,0.176
18,2085,49.9,-79.86,87,2814.0,0,0,1,-22.151,4584.9,0.167
19,2169,52.0,-79.99,84,2801.0,0,0,1,-25.195,4491.0,0.158
20,2265,54.5,-65.6,96,4240.0,0,0,1,-27.215,4478.4,0.15
21,2349,56.9,-78.49,84,2951.0,0,0,1,-28.045,4395.5,0.15
22,2625,63.9,212.36,276,10036.0,1,0,0,-13.66,4733.9,0.2
23,2709,65.5,-75.82,84,3218.0,0,0,1,-14.327,4667.2,0.2
24,2913,69.7,284.39,204,11239.0,1,0,0,3.525,5052.5,0.25
25,3210,79.2,-19.02,297,8898.0,0,0,0,6.162,5316.2,0.25
26,3432,85.3,179.72,222,8772.0,1,0,0,4.373,5337.3,0.25
27,3540,87.4,-69.49,108,3851.0,0,0,1,4.666,5366.6,0.25
28,3639,89.5,-58.94,99,4906.0,0,0,1,5.756,5475.6,0.25
29,3735,91.6,-74.47,96,3353.0,0,0,1,5.703,5470.2,0.25
30,3828,95.5,-73.92,93,3408.0,0,0,1,5.383,5438.2,0.25
31,3912,97.9,-70.5,84,3750.0,0,0,1,-11.088,5091.1,0.2
32,3999,100.4,-78.29,87,2971.0,0,0,1,-11.518,5048.1,0.2
33,4098,107.3,-77.24,99,3076.0,0,0,1,-11.207,5079.2,0.2
34,4197,109.9,-74.34,99,3366.0,0,0,1,-11.372,5062.8,0.2
35,4299,112.5,-64.98,102,4302.0,0,0,1,-11.155,5084.4,0.2
36,4476,116.9,236.95,177,8495.0,1,0,0,-9.894,5010.6,0.2
37,4647,121.4,230.22,171,7822.0,1,0,0,5.134,5213.4,0.25
38,4731,123.4,-81.06,84,2694.0,0,0,1,5.074,5207.4,0.25
39,4818,125.7,-74.68,87,3332.0,0,0,1,5.34,5234.0,0.25
40,5031,131.3,212.23,213,10023.0,1,0,0,19.232,5523.1,0.3
41,5124,133.7,-76.28,93,3172.0,0,0,1,19.342,5534.2,0.3
42,5208,136.1,-75.93,84,3207.0,0,0,1,4.927,5192.8,0.25
43,5295,138.7,-77.66,87,3034.0,0,0,1,4.835,5183.6,0.25
44,5382,141.3,-75.13,87,3287.0,0,0,1,-13.141,4785.9,0.2
45,5487,144.4,-68.66,105,3934.0,0,0,1,-15.623,4537.8,0.2
46,5589,147.5,-63.92,102,4408.0,0,0,1,-27.804,4319.6,0.15
47,5697,150.7,-58.02,108,4998.0,0,0,1,-27.231,4376.9,0.15
48,5895,156.7,191.58,198,7958.0,1,0,0,-14.705,4529.5,0.2
49,5985,159.4,-73.96,90,3404.0,0,0,1,-14.679,4532.1,0.2
50,6078,161.4,-66.15,93,4185.0,0,0,1,-14.291,4570.9,0.2
51,6177,168.6,-62.61,99,4539.0,0,0,1,-13.896,4610.4,0.2
52,6273,171.4,-63.1,96,4490.0,0,0,1,-13.137,4686.3,0.2
53,6450,176.5,0.34,177,6834.0,0,0,1,-9.258,4874.2,0.2
54,6543,179.3,-75.78,93,3222.0,0,0,1,-9.33,4867.0,0.2
55,6639,182.0,-65.04,96,4296.0,0,0,1,-9.333,4866.7,0.2
56,6738,184.1,-64.72,99,4328.0,0,0,1,-24.417,4658.4,0.15
57,6996,191.5,203.35,258,9135.0,1,0,0,-25.76,4724.0,0.15
58,7089,194.2,-74.46,93,3354.0,0,0,1,-25.43,4757.0,0.15
59,7281,199.8,253.0,192,10100.0,1,0,0,-9.046,5095.4,0.2
60,7380,202.3,-73.73,99,3427.0,0,0,1,-23.344,4765.6,0.15
61,7572,206.4,271.35,192,9935.0,1,0,0,-5.963,5103.8,0.2
62,7665,210.0,-79.01,93,2899.0,0,0,1,-6.117,5088.4,0.2
63,7881,216.6,263.79,216,11179.0,1,0,0,10.956,5495.6,0.25
64,8058,220.9,237.57,177,8557.0,1,0,0,26.591,5759.1,0.3
65,8157,222.9,-58.69,99,4931.0,0,0,1,27.089,5808.9,0.3
66,8256,228.7,-69.92,99,3808.0,0,0,1,26.789,5778.9,0.3
67,8349,230.4,-58.14,93,4986.0,0,0,1,26.783,5778.4,0.3
68,8451,232.5,-46.14,102,6186.0,0,0,1,14.897,5689.8,0.25
69,8544,235.2,-70.63,93,3737.0,0,0,1,15.064,5706.4,0.25
70,8751,239.5,255.23,207,10323.0,1,0,0,31.133,6013.3,0.3
71,8958,245.8,169.95,207,7795.0,1,0,0,42.761,6176.1,0.35
72,9057,248.8,-67.86,99,4014.0,0,0,1,42.523,6152.3,0.35
73,9267,254.9,220.85,210,8885.0,1,0,0,53.549,6254.9,0.4
74,9366,257.0,-68.26,99,3974.0,0,0,1,53.925,6292.4,0.4
75,9462,258.8,-72.28,96,3572.0,0,0,1,53.563,6256.2,0.4
76,9546,261.3,-75.85,84,3215.0,0,0,1,53.006,6200.6,0.4
77,9630,264.2,-69.63,84,3837.0,0,0,1,39.357,5935.7,0.35
78,9735,267.1,-68.4,105,3960.0,0,0,1,39.66,5966.0,0.35
79,9915,272.0,244.16,180,9216.0,1,0,0,39.218,5921.8,0.35
80,10020,275.0,-70.6,105,3740.0,0,0,1,39.374,5937.4,0.35
81,10254,285.8,206.27,234,9427.0,1,0,0,36.12,5912.1,0.35
82,10347,288.6,-63.26,93,4474.0,0,0,1,36.908,5990.8,0.35
83,10431,291.1,-82.64,84,2536.0,0,0,1,19.587,5558.6,0.3
84,10518,293.1,-73.43,87,3457.0,0,0,1,4.037,5303.6,0.25
85,10707,296.7,181.35,189,8935.0,1,0,0,16.039,5503.9,0.3
86,10806,298.6,-60.9,99,4710.0,0,0,1,16.489,5548.9,0.3
87,10989,303.3,221.84,183,8984.0,1,0,0,30.489,5748.9,0.35
88,11091,306.4,-58.6,102,4940.0,0,0,1,29.866,5686.6,0.35
89,11187,309.2,-65.46,96,4254.0,0,0,1,30.124,5712.4,0.35
90,11427,315.4,202.18,240,9018.0,1,0,0,27.471,5647.1,0.35
91,11631,320.3,-30.45,204,7755.0,0,0,1,17.451,5645.1,0.3
92,11724,323.2,-68.31,93,3969.0,0,0,1,17.429,5642.9,0.3
93,11829,326.0,-60.29,105,4771.0,0,0,1,3.372,5437.2,0.25
94,12039,331.9,2.01,210,9001.0,0,0,1,6.885,5688.6,0.25
95,12321,342.2,212.56,282,10056.0,1,0,0,21.128,6012.8,0.3
96,12414,344.9,-65.0,93,4300.0,0,0,1,21.67,6067.0,0.3
97,12513,347.7,-62.78,99,4522.0,0,0,1,22.012,6101.2,0.3
98,12621,350.8,-53.95,108,5405.0,0,0,1,22.735,6173.5,0.3
99,12708,353.2,-65.21,87,4279.0,0,0,1,7.267,5926.6,0.25
100,12891,357.8,201.61,183,8961.0,1,0,0,20.877,6187.7,0.3
101,13062,361.4,245.09,171,7309.0,1,0,0,22.818,6081.8,0.3
102,13146,364.9,-79.03,84,2897.0,0,0,1,22.03,6002.9,0.3
103,13311,369.7,1.74,165,8974.0,0,0,1,26.248,6324.9,0.3
104,13530,376.0,200.75,219,8875.0,1,0,0,39.958,6595.8,0.35
105,13707,379.7,268.09,177,9609.0,1,0,0,44.295,6629.4,0.35
106,13794,381.6,-69.4,87,3860.0,0,0,1,43.87,6586.9,0.35
107,14007,387.8,219.73,213,8773.0,1,0,0,43.764,6576.4,0.35
108,14091,389.4,-73.01,84,3499.0,0,0,1,43.044,6504.4,0.35
109,14196,391.4,-57.04,105,5096.0,0,0,1,43.465,6546.4,0.35
110,14412,397.1,177.85,216,8585.0,1,0,0,42.248,6524.8,0.35
111,14646,404.3,212.62,234,10062.0,1,0,0,54.401,6640.1,0.4
112,14832,409.2,214.22,186,8222.0,1,0,0,68.528,6852.8,0.45
113,15072,414.4,186.17,240,9417.0,1,0,0,80.851,7085.1,0.5
114,15327,422.1,227.62,255,9562.0,1,0,0,92.132,7113.1,0.55
115,15423,424.7,-75.8,96,3220.0,0,0,1,77.714,6771.4,0.5
116,15645,429.1,205.45,222,9345.0,1,0,0,91.236,7023.6,0.55
117,15744,433.0,-58.65,99,4935.0,0,0,1,91.442,7044.2,0.55
118,15840,435.9,-55.63,96,5237.0,0,0,1,91.358,7035.9,0.55
119,16008,440.8,-14.7,168,7330.0,0,0,1,93.884,7188.4,0.55
120,16209,444.8,229.25,201,9725.0,1,0,0,95.266,7226.6,0.55
121,16470,457.6,254.62,261,10262.0,1,0,0,95.742,7374.2,0.55
122,16737,464.6,194.85,267,10285.0,1,0,0,109.436,7743.6,0.6
123,16824,467.1,-75.04,87,3296.0,0,0,1,105.597,7459.8,0.6
124,16995,472.0,231.57,171,9957.0,1,0,0,107.138,7513.9,0.6
125,17166,475.6,240.06,171,8806.0,1,0,0,105.737,7473.7,0.6
126,17463,484.8,-14.5,297,9350.0,0,0,0,108.482,7748.2,0.6
127,17724,491.1,186.55,261,9455.0,1,0,0,106.823,7782.3,0.6
128,17895,494.9,35.44,171,8344.0,0,0,1,112.246,8024.6,0.6
129,18168,499.1,201.21,273,8921.0,1,0,0,125.158,8215.8,0.65
130,18255,500.4,-66.59,87,4141.0,0,0,1,112.936,7993.6,0.6
131,18426,503.7,233.01,171,10101.0,1,0,0,113.956,7995.6,0.6
132,18672,515.0,203.27,246,9127.0,1,0,0,113.408,8040.8,0.6
133,18897,520.7,250.91,225,9891.0,1,0,0,116.645,8064.5,0.6
134,19056,525.9,-8.07,159,7993.0,0,0,1,104.861,7986.1,0.55
135,19278,532.6,226.87,222,9487.0,1,0,0,119.994,8299.4,0.6
136,19365,534.5,-78.12,87,2988.0,0,0,1,105.816,7981.6,0.55
137,19554,538.4,218.62,189,8662.0,1,0,0,119.679,8167.9,0.6
138,19725,541.7,241.95,171,8995.0,1,0,0,134.558,8355.8,0.65
139,19908,544.8,256.55,183,8455.0,1,0,0,148.12,8412.0,0.7
140,20004,546.9,-63.69,96,4431.0,0,0,1,133.474,8147.4,0.65
141,20205,550.3,244.98,201,9298.0,1,0,0,132.992,8099.1,0.65
142,20298,551.8,-69.56,93,3844.0,0,0,1,119.771,7777.1,0.6
143,20391,553.4,-60.32,93,4768.0,0,0,1,120.507,7850.7,0.6
144,20562,561.9,222.48,171,9048.0,1,0,0,120.053,7805.2,0.6
145,20661,564.9,-59.03,99,4897.0,0,0,1,105.098,7609.8,0.55
146,20856,569.9,215.14,195,8314.0,1,0,0,116.58,7558.0,0.6
147,21069,575.3,238.54,213,8654.0,1,0,0,119.18,7517.9,0.6
148,21243,580.5,240.02,174,8802.0,1,0,0,129.409,7540.9,0.65
149,21444,586.2,262.49,201,11049.0,1,0,0,132.472,7647.2,0.65
150,21624,589.9,231.35,180,7935.0,1,0,0,147.369,7836.9,0.7
151,21729,591.8,-56.89,105,5111.0,0,0,1,132.875,7587.4,0.65
152,21939,599.0,195.11,210,8311.0,1,0,0,132.467,7546.6,0.65
