episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,1.0,-61.9,120,4610.0,0,0,1,-61.9,4610.0,0.0
2,216,1.5,-75.33,96,3267.0,0,0,1,-68.615,3938.5,0.0
3,312,2.3,-62.48,96,4552.0,0,0,1,-66.57,4143.0,0.0
4,417,3.4,-72.66,105,3534.0,0,0,1,-68.093,3990.8,0.0
5,510,4.4,-71.76,93,3624.0,0,0,1,-68.826,3917.4,0.0
6,714,6.6,215.5,204,8350.0,1,0,0,-21.438,4656.2,0.167
7,798,7.5,-75.35,84,3265.0,0,0,1,-29.14,4457.4,0.143
8,888,8.5,-80.73,90,2727.0,0,0,1,-35.589,4241.1,0.125
9,972,9.4,-73.41,84,3459.0,0,0,1,-39.791,4154.2,0.111
10,1074,10.4,-67.52,102,4048.0,0,0,1,-42.564,4143.6,0.1
11,1293,12.7,258.92,219,10692.0,1,0,0,-15.156,4738.9,0.182
12,1392,13.6,-69.69,99,3831.0,0,0,1,-19.701,4663.2,0.167
13,1476,14.0,-83.46,84,2454.0,0,0,1,-24.605,4493.3,0.154
14,1569,14.5,-71.05,93,3695.0,0,0,1,-27.923,4436.3,0.143
15,1674,15.1,-69.31,105,3869.0,0,0,1,-30.682,4398.5,0.133
16,1899,17.2,211.72,225,9972.0,1,0,0,-15.532,4746.8,0.188
17,1998,18.3,-70.35,99,3765.0,0,0,1,-18.756,4689.1,0.176
18,2085,21.2,-79.86,87,2814.0,0,0,1,-22.151,4584.9,0.167
19,2169,22.1,-79.99,84,2801.0,0,0,1,-25.195,4491.0,0.158
20,2265,23.2,-65.6,96,4240.0,0,0,1,-27.215,4478.4,0.15
21,2349,24.1,-78.49,84,2951.0,0,0,1,-28.045,4395.5,0.15
22,2598,26.9,210.71,249,9871.0,1,0,0,-13.743,4725.7,0.2
23,2835,29.4,213.72,237,10172.0,1,0,0,0.067,5006.7,0.25
24,3033,31.4,279.37,198,10737.0,1,0,0,17.669,5366.9,0.3
25,3234,32.6,197.19,201,8519.0,1,0,0,31.116,5611.6,0.35
26,3423,33.4,223.53,189,9153.0,1,0,0,31.518,5651.8,0.35
27,3522,33.9,-76.02,99,3198.0,0,0,1,31.484,5648.4,0.35
28,3702,35.6,-16.69,180,7131.0,0,0,1,34.686,5868.6,0.35
29,3795,36.6,-75.23,93,3277.0,0,0,1,34.595,5859.5,0.35
30,3993,38.5,210.53,198,7853.0,1,0,0,48.497,6049.8,0.4
31,4095,39.5,-76.92,102,3108.0,0,0,1,31.706,5670.6,0.35
32,4191,42.2,-73.34,96,3466.0,0,0,1,31.523,5652.3,0.35
33,4284,43.1,-75.94,93,3206.0,0,0,1,31.899,5689.9,0.35
34,4377,44.1,-69.97,93,3803.0,0,0,1,31.953,5695.3,0.35
35,4470,45.0,-79.8,93,2820.0,0,0,1,31.429,5642.9,0.35
36,4566,45.6,-71.34,96,3666.0,0,0,1,17.276,5327.6,0.3
37,4671,46.1,-54.24,105,5376.0,0,0,1,18.081,5408.1,0.3
38,4770,46.5,-57.61,99,5039.0,0,0,1,19.194,5519.4,0.3
39,4980,47.6,277.42,210,10542.0,1,0,0,37.064,5906.4,0.35
40,5175,49.2,226.96,195,9496.0,1,0,0,51.692,6169.2,0.4
41,5376,50.8,239.24,201,8724.0,1,0,0,67.578,6457.9,0.45
42,5484,51.7,-61.53,108,4647.0,0,0,1,53.967,6196.6,0.4
43,5697,53.4,258.08,213,8608.0,1,0,0,56.184,6118.4,0.4
44,5790,54.1,-70.79,93,3721.0,0,0,1,38.677,5767.6,0.35
45,5883,54.9,-72.31,93,3569.0,0,0,1,25.202,5520.1,0.3
46,6081,56.4,276.21,198,10421.0,1,0,0,27.836,5583.6,0.3
47,6165,58.3,-74.08,84,3392.0,0,0,1,27.932,5593.2,0.3
48,6261,59.1,-64.19,96,4381.0,0,0,1,25.558,5455.8,0.3
49,6399,60.2,-45.95,138,6205.0,0,0,1,27.021,5602.1,0.3
50,6627,62.0,201.51,228,8951.0,1,0,0,26.57,5657.1,0.3
51,6732,62.8,-61.73,105,4627.0,0,0,1,27.33,5733.0,0.3
52,6816,63.7,-77.23,84,3077.0,0,0,1,27.135,5713.6,0.3
53,6909,64.7,-64.6,93,4340.0,0,0,1,27.702,5770.2,0.3
54,7002,65.7,-79.44,93,2856.0,0,0,1,27.229,5722.9,0.3
55,7101,66.2,-76.16,99,3184.0,0,0,1,27.411,5741.1,0.3
56,7362,67.5,189.49,261,9749.0,1,0,0,40.453,6045.2,0.35
57,7554,69.0,239.4,192,8740.0,1,0,0,55.135,6213.4,0.4
58,7653,69.8,-61.37,99,4663.0,0,0,1,54.947,6194.6,0.4
59,7740,70.5,-78.97,87,2903.0,0,0,1,37.127,5812.7,0.35
