episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,171,5.6,236.01,171,8401.0,1,0,0,236.01,8401.0,1.0
2,297,9.1,-51.74,126,5626.0,0,0,1,92.135,7013.5,0.5
3,504,14.0,203.62,207,9162.0,1,0,0,129.297,7729.7,0.667
4,705,18.1,260.22,201,10822.0,1,0,0,162.028,8502.8,0.75
5,807,20.3,-66.54,102,4146.0,0,0,1,116.314,7631.4,0.6
6,1023,26.4,256.52,216,12452.0,1,0,0,139.682,8434.8,0.667
7,1233,30.2,242.47,210,11047.0,1,0,0,154.366,8808.0,0.714
8,1332,32.1,-68.91,99,3909.0,0,0,1,126.456,8195.6,0.625
9,1416,33.5,-74.24,84,3376.0,0,0,1,104.157,7660.1,0.556
10,1512,35.0,-70.87,96,3713.0,0,0,1,86.654,7265.4,0.5
11,1689,37.9,249.56,177,9756.0,1,0,0,101.464,7491.8,0.545
12,1788,39.5,-70.1,99,3790.0,0,0,1,87.167,7183.3,0.5
13,1893,41.2,-56.73,105,5127.0,0,0,1,76.098,7025.2,0.462
14,1995,42.9,-67.97,102,4003.0,0,0,1,65.807,6809.3,0.429
15,2103,50.6,-65.0,108,4300.0,0,0,1,57.087,6642.0,0.4
16,2214,53.4,-63.23,111,4477.0,0,0,1,49.567,6506.7,0.375
17,2298,55.7,-70.81,84,3719.0,0,0,1,42.486,6342.7,0.353
18,2400,58.6,-72.77,102,3523.0,0,0,1,36.083,6186.1,0.333
19,2487,61.1,-79.79,87,2821.0,0,0,1,29.984,6008.9,0.316
20,2670,64.9,229.92,183,9792.0,1,0,0,39.981,6198.1,0.35
21,2754,66.6,-72.76,84,3524.0,0,0,1,24.543,5954.2,0.3
22,2868,68.9,-59.33,114,4867.0,0,0,1,24.163,5916.3,0.3
23,3090,76.1,190.46,222,7846.0,1,0,0,23.505,5850.5,0.3
24,3288,81.8,207.26,198,9526.0,1,0,0,20.857,5785.7,0.3
25,3384,84.5,-66.81,96,4119.0,0,0,1,20.843,5784.4,0.3
26,3492,86.7,-66.42,108,4158.0,0,0,1,4.696,5369.6,0.25
27,3591,88.8,-75.21,99,3279.0,0,0,1,-11.188,4981.2,0.2
28,3798,95.0,219.38,207,8738.0,1,0,0,3.227,5222.7,0.25
29,3912,98.3,-48.97,114,5903.0,0,0,1,4.49,5349.1,0.25
30,3996,100.7,-77.34,84,3066.0,0,0,1,4.167,5316.7,0.25
31,4188,109.9,265.61,192,11361.0,1,0,0,4.97,5396.9,0.25
32,4380,114.7,234.18,192,10218.0,1,0,0,20.183,5718.4,0.3
33,4464,116.9,-85.19,84,2281.0,0,0,1,18.761,5576.1,0.3
34,4647,121.7,234.56,183,8256.0,1,0,0,33.887,5788.7,0.35
35,4887,127.9,203.11,240,9111.0,1,0,0,47.293,6029.2,0.4
36,4977,130.2,-87.02,90,2098.0,0,0,1,46.103,5910.3,0.4
37,5076,132.8,-72.7,99,3530.0,0,0,1,46.008,5900.9,0.4
38,5253,137.9,235.12,177,8312.0,1,0,0,61.403,6140.3,0.45
39,5358,141.0,-68.3,105,3970.0,0,0,1,61.977,6197.8,0.45
40,5535,146.3,242.1,177,9010.0,1,0,0,62.586,6158.6,0.45
41,5640,149.5,-74.15,105,3385.0,0,0,1,62.517,6151.7,0.45
42,5835,155.3,240.11,195,8811.0,1,0,0,77.489,6348.9,0.5
43,6012,160.2,212.33,177,10033.0,1,0,0,78.582,6458.2,0.5
44,6114,162.4,-64.95,102,4305.0,0,0,1,64.972,6197.2,0.45
45,6213,170.0,-71.87,99,3613.0,0,0,1,64.719,6171.9,0.45
46,6423,176.1,204.02,210,9202.0,1,0,0,78.241,6424.1,0.5
47,6525,179.1,-64.24,102,4376.0,0,0,1,78.79,6478.9,0.5
48,6711,183.7,244.91,186,11291.0,1,0,0,80.066,6606.6,0.5
49,6858,186.8,-16.94,147,7106.0,0,0,1,81.668,6666.8,0.5
50,6942,189.9,-78.27,84,2973.0,0,0,1,81.621,6662.1,0.5
51,7041,193.0,-69.96,99,3804.0,0,0,1,64.843,6284.2,0.45
52,7209,197.9,197.5,168,10550.0,1,0,0,63.009,6300.9,0.45
53,7314,201.0,-56.99,105,5101.0,0,0,1,64.419,6441.9,0.45
54,7506,205.2,278.5,192,10650.0,1,0,0,66.615,6561.6,0.45
55,7701,211.4,209.97,195,7797.0,1,0,0,66.959,6495.9,0.45
56,7872,216.6,251.14,171,9914.0,1,0,0,83.867,6886.6,0.5
57,7977,219.3,-69.51,105,3849.0,0,0,1,84.026,6902.6,0.5
58,8157,223.1,246.23,180,9423.0,1,0,0,84.581,6958.1,0.5
59,8334,230.3,249.95,177,9795.0,1,0,0,100.494,7249.4,0.55
60,8433,232.3,-91.0,99,1700.0,0,0,1,83.839,6883.9,0.5
61,8535,235.2,-76.76,102,3124.0,0,0,1,83.709,6870.9,0.5
62,8637,237.4,-61.4,102,4660.0,0,0,1,68.633,6663.3,0.45
63,8745,239.5,-65.06,108,4294.0,0,0,1,54.764,6376.4,0.4
64,8913,244.8,248.46,168,9646.0,1,0,0,70.434,6643.4,0.45
65,9015,247.9,-68.52,102,3948.0,0,0,1,70.602,6660.1,0.45
66,9111,250.8,-65.11,96,4289.0,0,0,1,57.145,6414.5,0.4
67,9210,253.7,-69.9,99,3810.0,0,0,1,56.862,6386.2,0.4
68,9381,257.5,258.31,171,10631.0,1,0,0,57.532,6353.2,0.4
69,9465,259.2,-82.32,84,2568.0,0,0,1,54.263,6126.3,0.4
70,9552,262.4,-77.24,87,3076.0,0,0,1,54.315,6131.4,0.4
71,9648,265.1,-79.58,96,2842.0,0,0,1,53.834,6083.4,0.4
72,9822,269.9,246.06,174,9406.0,1,0,0,56.261,6026.1,0.4
73,10014,275.2,270.37,192,9837.0,1,0,0,72.63,6262.9,0.45
74,10224,281.1,284.53,210,11253.0,1,0,0,72.931,6293.1,0.45
75,10410,291.0,214.27,186,8227.0,1,0,0,73.146,6314.6,0.45
76,10581,294.5,234.68,171,10268.0,1,0,0,72.323,6332.3,0.45
77,10755,297.9,229.02,174,9702.0,1,0,0,87.249,6624.9,0.5
78,10944,302.5,179.06,189,8706.0,1,0,0,83.891,6589.1,0.5
79,11040,305.3,-70.61,96,3739.0,0,0,1,67.863,6286.3,0.45
80,11142,308.4,-69.62,102,3838.0,0,0,1,68.932,6393.2,0.45
81,11331,313.8,219.16,189,8716.0,1,0,0,83.728,6672.8,0.5
82,11517,317.3,245.61,186,9361.0,1,0,0,99.079,6907.9,0.55
83,11619,320.6,-72.34,102,3566.0,0,0,1,98.715,6871.4,0.55
84,11724,323.6,-60.79,105,4721.0,0,0,1,83.252,6625.2,0.5
85,11916,329.0,251.99,192,9999.0,1,0,0,99.278,6927.8,0.55
86,12096,333.3,184.0,180,9200.0,1,0,0,111.733,7173.3,0.6
87,12291,341.7,259.41,195,10741.0,1,0,0,128.199,7519.9,0.65
88,12390,344.7,-69.9,99,3810.0,0,0,1,111.788,7178.8,0.6
89,12546,349.1,249.74,156,7774.0,1,0,0,128.391,7439.1,0.65
90,12645,351.9,-81.13,99,2687.0,0,0,1,128.196,7419.6,0.65
