episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,2.4,190.5,120,4610.0,0,0,1,190.5,4610.0,0.0
2,216,3.8,123.35,96,3267.0,0,0,1,156.925,3938.5,0.0
3,312,6.7,187.6,96,4552.0,0,0,1,167.15,4143.0,0.0
4,417,8.7,136.7,105,3534.0,0,0,1,159.538,3990.8,0.0
5,510,11.0,141.2,93,3624.0,0,0,1,155.87,3917.4,0.0
6,714,15.8,377.5,204,8350.0,1,0,0,192.808,4656.2,0.167
7,798,17.4,123.25,84,3265.0,0,0,1,182.871,4457.4,0.143
8,888,18.9,96.35,90,2727.0,0,0,1,172.056,4241.1,0.125
9,972,20.4,132.95,84,3459.0,0,0,1,167.711,4154.2,0.111
10,1074,23.4,162.4,102,4048.0,0,0,1,167.18,4143.6,0.1
11,1293,28.2,494.6,219,10692.0,1,0,0,196.945,4738.9,0.182
12,1392,30.3,151.55,99,3831.0,0,0,1,193.163,4663.2,0.167
13,1476,31.7,82.7,84,2454.0,0,0,1,184.665,4493.3,0.154
14,1569,33.3,144.75,93,3695.0,0,0,1,181.814,4436.3,0.143
15,1674,35.0,153.45,105,3869.0,0,0,1,179.923,4398.5,0.133
16,1899,38.8,458.6,225,9972.0,1,0,0,197.341,4746.8,0.188
17,1998,40.5,148.25,99,3765.0,0,0,1,194.453,4689.1,0.176
18,2085,44.7,100.7,87,2814.0,0,0,1,189.244,4584.9,0.167
19,2169,46.2,96.3,84,2726.0,0,0,1,184.353,4487.1,0.158
20,2256,47.6,113.7,87,3074.0,0,0,1,180.82,4416.4,0.15
21,2352,49.2,152.2,96,3844.0,0,0,1,178.905,4378.1,0.15
22,2568,52.6,494.8,216,10696.0,1,0,0,197.478,4749.6,0.2
23,2748,55.7,370.45,180,8209.0,1,0,0,206.62,4932.4,0.25
24,2856,57.5,217.3,108,5146.0,0,0,1,210.65,5013.0,0.25
25,2940,58.9,58.05,84,1961.0,0,0,1,206.493,4929.9,0.25
26,3027,60.4,92.2,87,2644.0,0,0,1,192.228,4644.6,0.2
27,3114,61.8,127.35,87,3347.0,0,0,1,192.433,4648.6,0.2
28,3198,63.3,93.0,84,2660.0,0,0,1,192.265,4645.3,0.2
29,3294,64.9,144.3,96,3686.0,0,0,1,192.833,4656.6,0.2
30,3381,66.3,67.8,87,2156.0,0,0,1,188.103,4562.1,0.2
31,3474,67.9,121.15,93,3223.0,0,0,1,169.43,4188.6,0.15
32,3570,69.5,93.0,96,2660.0,0,0,1,166.503,4130.1,0.15
33,3666,71.1,73.4,96,2268.0,0,0,1,166.037,4120.8,0.15
34,3765,72.8,85.4,99,2508.0,0,0,1,163.07,4061.4,0.15
35,3849,74.2,98.7,84,2774.0,0,0,1,160.333,4006.7,0.15
36,4050,77.6,447.85,201,9757.0,1,0,0,159.795,3995.9,0.15
37,4278,84.1,444.25,228,9685.0,1,0,0,174.595,4291.9,0.2
38,4506,88.0,416.05,228,9121.0,1,0,0,190.363,4607.2,0.25
39,4605,89.6,175.3,99,4306.0,0,0,1,194.313,4686.2,0.25
40,4704,91.3,189.4,99,4588.0,0,0,1,198.098,4761.9,0.25
41,4791,92.8,112.0,87,3040.0,0,0,1,196.088,4721.8,0.25
42,5046,97.0,693.3,255,14666.0,1,0,0,206.012,4920.2,0.25
43,5133,98.5,122.95,87,3259.0,0,0,1,193.637,4672.8,0.2
44,5346,102.1,599.0,213,12780.0,1,0,0,212.722,5054.4,0.25
45,5442,103.7,191.45,96,4629.0,0,0,1,219.392,5187.9,0.25
46,5538,105.3,145.65,96,3713.0,0,0,1,222.065,5241.3,0.25
47,5622,106.7,128.75,84,3375.0,0,0,1,222.135,5242.7,0.25
48,5712,108.3,165.4,90,4108.0,0,0,1,225.755,5315.1,0.25
49,5796,109.7,154.7,84,3894.0,0,0,1,226.275,5325.5,0.25
50,6054,114.0,619.5,258,13190.0,1,0,0,253.86,5877.2,0.3
51,6138,115.5,87.45,84,2549.0,0,0,1,252.175,5843.5,0.3
52,6345,121.5,472.6,207,10252.0,1,0,0,271.155,6223.1,0.35
53,6597,125.8,555.2,252,11904.0,1,0,0,295.245,6704.9,0.4
54,6699,127.6,126.35,102,3327.0,0,0,1,297.293,6745.9,0.4
55,6798,129.3,176.25,99,4325.0,0,0,1,301.17,6823.4,0.4
56,6882,130.7,102.6,84,2852.0,0,0,1,283.908,6478.1,0.35
57,6987,132.5,160.25,105,4005.0,0,0,1,269.708,6194.1,0.3
58,7074,133.9,148.45,87,3769.0,0,0,1,256.327,5926.6,0.25
59,7323,138.2,587.85,249,12557.0,1,0,0,276.955,6339.1,0.3
60,7440,140.1,185.95,117,4519.0,0,0,1,276.782,6335.6,0.3
61,7527,141.6,98.9,87,2778.0,0,0,1,276.127,6322.6,0.3
62,7797,146.2,624.15,270,13283.0,1,0,0,272.67,6253.4,0.3
63,7884,147.7,160.55,87,4011.0,0,0,1,274.55,6291.0,0.3
64,7971,149.2,166.1,87,4122.0,0,0,1,252.905,5858.1,0.25
65,8079,151.0,236.35,108,5527.0,0,0,1,255.15,5903.0,0.25
66,8313,155.4,607.4,234,12948.0,1,0,0,278.238,6364.8,0.3
67,8397,156.3,97.95,84,2759.0,0,0,1,276.697,6333.9,0.3
68,8493,158.6,147.7,96,3754.0,0,0,1,275.812,6316.2,0.3
69,8709,162.1,675.9,216,14318.0,1,0,0,301.872,6837.4,0.35
70,8805,163.7,142.9,96,3658.0,0,0,1,278.042,6360.9,0.3
71,8892,165.1,122.55,87,3251.0,0,0,1,279.797,6395.9,0.3
72,8976,166.5,149.15,84,3783.0,0,0,1,263.625,6072.5,0.25
73,9096,168.4,246.15,120,5723.0,0,0,1,248.172,5763.4,0.2
74,9192,169.9,173.1,96,4262.0,0,0,1,250.51,5810.2,0.2
75,9300,171.5,123.7,108,3274.0,0,0,1,247.882,5757.6,0.2
76,9543,175.4,540.9,243,11618.0,1,0,0,269.797,6195.9,0.25
77,9630,176.9,120.9,87,3218.0,0,0,1,267.83,6156.6,0.25
78,9732,178.5,170.05,102,4201.0,0,0,1,268.91,6178.2,0.25
79,9954,182.1,461.1,222,10022.0,1,0,0,262.572,6051.4,0.25
80,10053,183.7,186.45,99,4529.0,0,0,1,262.597,6051.9,0.25
81,10152,185.3,153.1,99,3862.0,0,0,1,265.308,6106.1,0.25
82,10251,189.3,172.25,99,4245.0,0,0,1,242.713,5654.2,0.2
