episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,84,2.1,-87.82,84,2018.0,0,0,1,-87.82,2018.0,0.0
2,165,3.8,-73.74,81,3426.0,0,0,1,-80.78,2722.0,0.0
3,249,5.5,-81.09,84,2691.0,0,0,1,-80.883,2711.7,0.0
4,333,7.2,-72.08,84,3592.0,0,0,1,-78.683,2931.8,0.0
5,417,8.9,-81.77,84,2623.0,0,0,1,-79.3,2870.0,0.0
6,498,10.5,-72.32,81,3568.0,0,0,1,-78.137,2986.3,0.0
7,582,12.2,-79.25,84,2875.0,0,0,1,-78.296,2970.4,0.0
8,663,13.9,-79.15,81,2885.0,0,0,1,-78.403,2959.8,0.0
9,747,15.6,-83.68,84,2432.0,0,0,1,-78.989,2901.1,0.0
10,831,17.2,-90.27,84,1773.0,0,0,1,-80.117,2788.3,0.0
11,915,18.9,-78.53,84,2947.0,0,0,1,-79.973,2802.7,0.0
12,996,20.4,-80.53,81,2747.0,0,0,1,-80.019,2798.1,0.0
13,1086,22.2,-82.23,90,2577.0,0,0,1,-80.189,2781.1,0.0
14,1176,24.0,-79.53,90,2847.0,0,0,1,-80.142,2785.8,0.0
15,1257,25.6,-69.59,81,3841.0,0,0,1,-79.439,2856.1,0.0
16,1341,27.3,-83.39,84,2461.0,0,0,1,-79.686,2831.4,0.0
17,1431,29.1,-68.5,90,3950.0,0,0,1,-79.028,2897.2,0.0
18,1515,30.9,-80.31,84,2769.0,0,0,1,-79.099,2890.1,0.0
19,1596,32.5,-85.88,81,2212.0,0,0,1,-79.456,2854.4,0.0
20,1680,34.2,-82.61,84,2539.0,0,0,1,-79.613,2838.7,0.0
21,1764,35.9,-69.24,84,3876.0,0,0,1,-78.684,2931.6,0.0
22,1863,37.9,-72.37,99,3563.0,0,0,1,-78.616,2938.4,0.0
23,1944,39.5,-70.24,81,3776.0,0,0,1,-78.073,2992.7,0.0
24,2028,41.3,-83.3,84,2470.0,0,0,1,-78.635,2936.6,0.0
25,2112,46.3,-85.72,84,2228.0,0,0,1,-78.832,2916.8,0.0
26,2196,48.1,-82.55,84,2545.0,0,0,1,-79.343,2865.7,0.0
27,2277,49.8,-76.3,81,3170.0,0,0,1,-79.196,2880.4,0.0
28,2367,51.8,-75.72,90,3228.0,0,0,1,-79.024,2897.6,0.0
29,2451,53.6,-80.68,84,2732.0,0,0,1,-78.874,2912.6,0.0
30,2535,55.4,-78.01,84,2999.0,0,0,1,-78.261,2973.8,0.0
31,2619,57.2,-85.85,84,2215.0,0,0,1,-78.627,2937.2,0.0
32,2703,58.8,-79.73,84,2827.0,0,0,1,-78.588,2941.2,0.0
33,2799,60.5,-66.74,96,4126.0,0,0,1,-77.813,3018.7,0.0
34,2889,62.1,-71.7,90,3630.0,0,0,1,-77.421,3057.8,0.0
35,2970,63.5,-80.14,81,2786.0,0,0,1,-77.949,3005.1,0.0
36,3060,65.2,-73.35,90,3465.0,0,0,1,-77.447,3055.3,0.0
37,3144,66.7,-78.19,84,2981.0,0,0,1,-77.931,3006.8,0.0
38,3228,68.2,-81.79,84,2621.0,0,0,1,-78.005,2999.4,0.0
39,3309,70.0,-75.89,81,3211.0,0,0,1,-77.506,3049.4,0.0
40,3390,71.7,-75.68,81,3232.0,0,0,1,-77.16,3084.1,0.0
41,3474,73.5,-73.1,84,3490.0,0,0,1,-77.353,3064.8,0.0
42,3564,75.4,-80.83,90,2717.0,0,0,1,-77.775,3022.4,0.0
43,3648,77.2,-82.27,84,2573.0,0,0,1,-78.377,2962.3,0.0
44,3732,79.0,-88.46,84,1954.0,0,0,1,-78.635,2936.5,0.0
45,3813,80.8,-78.25,81,2975.0,0,0,1,-78.261,2973.8,0.0
46,3894,82.5,-87.82,81,2018.0,0,0,1,-78.525,2947.5,0.0
47,3978,84.3,-78.63,84,2937.0,0,0,1,-78.641,2935.8,0.0
48,4065,86.1,-78.8,87,2920.0,0,0,1,-78.796,2920.4,0.0
49,4149,91.1,-74.8,84,3320.0,0,0,1,-78.501,2949.8,0.0
50,4230,92.9,-86.11,81,2189.0,0,0,1,-78.906,2909.3,0.0
51,4317,94.7,-78.57,87,2943.0,0,0,1,-78.542,2945.8,0.0
52,4404,96.6,-76.41,87,3159.0,0,0,1,-78.376,2962.3,0.0
53,4494,98.5,-68.76,90,3924.0,0,0,1,-78.477,2952.2,0.0
54,4584,100.4,-65.95,90,4205.0,0,0,1,-78.19,2981.0,0.0
55,4668,102.2,-74.63,84,3337.0,0,0,1,-77.915,3008.6,0.0
56,4758,104.2,-74.74,90,3326.0,0,0,1,-77.984,3001.6,0.0
57,4848,106.1,-69.03,90,3897.0,0,0,1,-77.526,3047.4,0.0
58,4935,107.9,-75.99,87,3201.0,0,0,1,-77.236,3076.4,0.0
59,5019,109.7,-84.64,84,2336.0,0,0,1,-77.674,3032.7,0.0
60,5103,111.5,-76.2,84,3180.0,0,0,1,-77.7,3030.1,0.0
61,5193,113.4,-65.81,90,4219.0,0,0,1,-77.335,3066.5,0.0
62,5277,115.2,-76.28,84,3172.0,0,0,1,-77.107,3089.2,0.0
63,5358,116.9,-72.16,81,3584.0,0,0,1,-76.602,3139.8,0.0
64,5448,118.8,-82.89,90,2511.0,0,0,1,-76.323,3167.7,0.0
65,5532,120.6,-78.38,84,2962.0,0,0,1,-76.33,3167.0,0.0
66,5613,122.3,-83.57,81,2443.0,0,0,1,-76.118,3188.2,0.0
67,5697,124.1,-79.15,84,2885.0,0,0,1,-76.144,3185.7,0.0
68,5778,125.8,-81.45,81,2655.0,0,0,1,-76.276,3172.4,0.0
69,5862,127.6,-75.31,84,3269.0,0,0,1,-76.302,3169.8,0.0
70,5949,129.5,-73.93,87,3407.0,0,0,1,-75.693,3230.8,0.0
71,6039,131.4,-65.82,90,4218.0,0,0,1,-75.055,3294.5,0.0
72,6120,133.1,-78.02,81,2998.0,0,0,1,-75.136,3286.4,0.0
73,6201,138.1,-80.52,81,2748.0,0,0,1,-75.723,3227.7,0.0
74,6291,140.1,-69.98,90,3802.0,0,0,1,-75.925,3207.5,0.0
75,6375,141.9,-80.85,84,2715.0,0,0,1,-76.236,3176.4,0.0
76,6462,143.7,-71.4,87,3660.0,0,0,1,-76.069,3193.1,0.0
77,6552,145.6,-69.54,90,3846.0,0,0,1,-76.094,3190.6,0.0
78,6642,147.3,-75.52,90,3248.0,0,0,1,-76.071,3192.9,0.0
79,6726,148.7,-75.05,84,3295.0,0,0,1,-75.591,3240.8,0.0
80,6810,150.3,-80.24,84,2776.0,0,0,1,-75.793,3220.7,0.0
81,6894,152.1,-82.85,84,2515.0,0,0,1,-76.645,3135.4,0.0
82,6984,154.1,-73.46,90,3454.0,0,0,1,-76.504,3149.6,0.0
83,7068,155.9,-76.2,84,3180.0,0,0,1,-76.706,3129.3,0.0
84,7152,157.7,-84.83,84,2317.0,0,0,1,-76.803,3119.7,0.0
85,7236,159.5,-88.84,84,1916.0,0,0,1,-77.326,3067.3,0.0
86,7317,161.2,-86.12,81,2188.0,0,0,1,-77.454,3054.6,0.0
87,7407,163.1,-76.57,90,3143.0,0,0,1,-77.325,3067.5,0.0
88,7491,164.9,-84.04,84,2396.0,0,0,1,-77.454,3054.6,0.0
89,7572,166.6,-82.61,81,2539.0,0,0,1,-77.819,3018.1,0.0
90,7656,168.4,-82.57,84,2543.0,0,0,1,-78.251,2974.8,0.0
91,7740,170.2,-80.62,84,2738.0,0,0,1,-78.992,2900.8,0.0
92,7830,172.2,-68.8,90,3920.0,0,0,1,-78.53,2946.9,0.0
93,7914,174.0,-79.63,84,2837.0,0,0,1,-78.486,2951.4,0.0
94,7998,175.8,-70.25,84,3775.0,0,0,1,-78.499,2950.1,0.0
95,8088,177.8,-64.93,90,4307.0,0,0,1,-77.703,3029.7,0.0
96,8172,179.6,-79.25,84,2875.0,0,0,1,-78.096,2990.4,0.0
97,8262,184.8,-64.32,90,4368.0,0,0,1,-77.835,3016.5,0.0
98,8352,186.7,-71.12,90,3688.0,0,0,1,-77.615,3038.5,0.0
99,8451,188.9,-71.33,99,3667.0,0,0,1,-77.429,3057.1,0.0
100,8535,190.7,-78.31,84,2969.0,0,0,1,-77.333,3066.8,0.0
101,8625,192.7,-68.99,90,3901.0,0,0,1,-76.639,3136.1,0.0
102,8709,194.5,-75.94,84,3206.0,0,0,1,-76.763,3123.7,0.0
103,8793,196.3,-73.97,84,3403.0,0,0,1,-76.652,3134.8,0.0
104,8883,198.3,-68.22,90,3978.0,0,0,1,-75.822,3217.8,0.0
105,8973,200.2,-80.96,90,2704.0,0,0,1,-75.428,3257.2,0.0
106,9063,202.2,-69.22,90,3878.0,0,0,1,-74.583,3341.8,0.0
107,9147,204.0,-76.36,84,3164.0,0,0,1,-74.572,3342.8,0.0
108,9231,205.8,-79.0,84,2900.0,0,0,1,-74.32,3368.0,0.0
109,9327,207.8,-69.62,96,3838.0,0,0,1,-73.67,3432.9,0.0
110,9411,209.6,-68.84,84,3916.0,0,0,1,-72.984,3501.6,0.0
111,9492,211.4,-82.1,81,2590.0,0,0,1,-73.058,3494.2,0.0
112,9582,213.3,-69.3,90,3870.0,0,0,1,-73.083,3491.7,0.0
113,9672,215.3,-66.07,90,4193.0,0,0,1,-72.405,3559.5,0.0
114,9753,217.0,-81.32,81,2668.0,0,0,1,-72.958,3504.2,0.0
115,9834,218.8,-81.69,81,2631.0,0,0,1,-73.796,3420.3,0.0
116,9924,220.7,-64.14,90,4386.0,0,0,1,-73.041,3495.9,0.0
117,10008,222.5,-78.27,84,2973.0,0,0,1,-73.739,3426.2,0.0
118,10089,224.2,-86.2,81,2180.0,0,0,1,-74.492,3350.8,0.0
119,10176,226.1,-77.74,87,3026.0,0,0,1,-74.813,3318.7,0.0
120,10272,230.5,-68.99,96,3901.0,0,0,1,-74.347,3365.3,0.0
121,10362,232.2,-70.34,90,3766.0,0,0,1,-74.415,3358.6,0.0
122,10446,233.9,-77.28,84,3072.0,0,0,1,-74.481,3351.8,0.0
123,10530,235.6,-75.94,84,3206.0,0,0,1,-74.58,3342.0,0.0
