episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,222,4.6,194.45,222,15245.0,1,0,0,194.45,15245.0,1.0
2,411,7.8,136.82,189,9482.0,1,0,0,165.635,12363.5,1.0
3,606,11.1,138.37,195,9637.0,1,0,0,156.547,11454.7,1.0
4,807,14.7,167.03,201,12503.0,1,0,0,159.167,11716.8,1.0
5,1011,17.3,152.45,204,11045.0,1,0,0,157.824,11582.4,1.0
6,1248,21.7,155.27,237,11327.0,1,0,0,157.398,11539.8,1.0
7,1467,24.1,170.22,219,12822.0,1,0,0,159.23,11723.0,1.0
8,1683,28.8,168.24,216,12624.0,1,0,0,160.356,11835.6,1.0
9,1893,33.2,147.75,210,10575.0,1,0,0,158.956,11695.6,1.0
10,2124,40.5,214.0,231,17200.0,1,0,0,164.46,12246.0,1.0
11,2340,41.8,163.44,216,12144.0,1,0,0,164.367,12236.7,1.0
12,2556,43.2,183.51,216,14151.0,1,0,0,165.963,12396.2,1.0
13,2748,46.3,143.95,192,10195.0,1,0,0,164.269,12226.9,1.0
14,2952,49.9,158.53,204,11653.0,1,0,0,163.859,12185.9,1.0
15,3174,53.6,169.57,222,12757.0,1,0,0,164.24,12224.0,1.0
16,3381,57.1,167.04,207,12504.0,1,0,0,164.415,12241.5,1.0
17,3576,59.9,179.57,195,13757.0,1,0,0,165.306,12330.6,1.0
18,3822,63.0,224.31,246,18231.0,1,0,0,168.584,12658.4,1.0
19,4035,66.4,132.51,213,9051.0,1,0,0,166.686,12468.6,1.0
20,4287,72.8,223.94,252,18194.0,1,0,0,169.548,12754.9,1.0
21,4497,75.4,185.48,210,14348.0,1,0,0,169.1,12710.0,1.0
22,4731,78.8,234.49,234,19249.0,1,0,0,173.983,13198.4,1.0
23,4953,82.3,171.4,222,12940.0,1,0,0,175.635,13363.5,1.0
24,5139,85.2,135.09,186,9309.0,1,0,0,174.038,13203.8,1.0
25,5352,88.8,180.37,213,13837.0,1,0,0,175.434,13343.4,1.0
26,5580,93.1,181.73,228,13973.0,1,0,0,176.757,13475.7,1.0
27,5787,97.0,183.92,207,14192.0,1,0,0,177.442,13544.2,1.0
28,6003,101.3,190.34,216,14834.0,1,0,0,178.547,13654.7,1.0
29,6228,107.8,149.22,225,10722.0,1,0,0,178.62,13662.0,1.0
30,6483,112.0,206.82,255,16482.0,1,0,0,178.262,13626.1,1.0
31,6723,116.5,144.29,240,10229.0,1,0,0,177.304,13530.4,1.0
32,6969,120.6,240.65,246,19865.0,1,0,0,180.161,13816.1,1.0
33,7173,124.6,200.07,204,15807.0,1,0,0,182.967,14096.7,1.0
34,7386,127.3,218.2,213,17620.0,1,0,0,185.95,14395.0,1.0
35,7593,129.7,215.13,207,17313.0,1,0,0,188.228,14622.9,1.0
36,7830,134.2,215.62,237,17362.0,1,0,0,190.657,14865.8,1.0
37,8028,138.1,177.73,198,13573.0,1,0,0,190.565,14856.5,1.0
38,8229,144.9,182.4,201,14040.0,1,0,0,188.47,14647.0,1.0
39,8430,148.7,200.99,201,15899.0,1,0,0,191.894,14989.4,1.0
40,8685,152.9,266.15,255,22415.0,1,0,0,194.004,15200.5,1.0
41,8937,157.1,277.66,252,23566.0,1,0,0,198.613,15661.4,1.0
42,9150,160.7,206.13,213,16413.0,1,0,0,197.196,15519.5,1.0
43,9372,164.3,230.52,222,18852.0,1,0,0,200.151,15815.1,1.0
44,9567,167.6,173.51,195,13151.0,1,0,0,202.072,16007.2,1.0
45,9846,172.3,272.55,279,23055.0,1,0,0,206.681,16468.2,1.0
46,10137,178.0,251.77,291,20977.0,1,0,0,210.184,16818.3,1.0
47,10434,186.8,325.42,297,28342.0,1,0,0,217.258,17525.8,1.0
