episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,4.1,-61.9,120,4610.0,0,0,1,-61.9,4610.0,0.0
2,216,6.9,-75.33,96,3267.0,0,0,1,-68.615,3938.5,0.0
3,312,9.5,-62.48,96,4552.0,0,0,1,-66.57,4143.0,0.0
4,417,12.4,-72.66,105,3534.0,0,0,1,-68.093,3990.8,0.0
5,510,14.1,-71.76,93,3624.0,0,0,1,-68.826,3917.4,0.0
6,714,18.1,125.5,204,8350.0,1,0,0,-36.438,4656.2,0.167
7,798,19.8,-75.35,84,3265.0,0,0,1,-41.997,4457.4,0.143
8,888,22.9,-80.73,90,2727.0,0,0,1,-46.839,4241.1,0.125
9,972,25.2,-73.41,84,3459.0,0,0,1,-49.791,4154.2,0.111
10,1074,27.0,-67.52,102,4048.0,0,0,1,-51.564,4143.6,0.1
11,1293,31.0,148.92,219,10692.0,1,0,0,-33.338,4738.9,0.182
12,1392,32.8,-69.69,99,3831.0,0,0,1,-36.367,4663.2,0.167
13,1476,34.1,-83.46,84,2454.0,0,0,1,-39.99,4493.3,0.154
14,1569,35.6,-71.05,93,3695.0,0,0,1,-42.209,4436.3,0.143
15,1674,37.3,-69.31,105,3869.0,0,0,1,-44.015,4398.5,0.133
16,1899,41.0,141.72,225,9972.0,1,0,0,-32.407,4746.8,0.188
17,1998,42.6,-70.35,99,3765.0,0,0,1,-34.639,4689.1,0.176
18,2085,49.6,-79.86,87,2814.0,0,0,1,-37.151,4584.9,0.167
19,2169,51.8,-82.56,84,2544.0,0,0,1,-39.541,4477.5,0.158
20,2262,54.2,-73.24,93,3476.0,0,0,1,-41.226,4427.4,0.15
21,2346,56.5,-80.08,84,2792.0,0,0,1,-42.135,4336.5,0.15
22,2625,63.7,147.1,279,10510.0,1,0,0,-31.014,4698.6,0.2
23,2709,65.3,-80.81,84,2719.0,0,0,1,-31.93,4607.0,0.2
24,2913,69.4,159.21,204,11721.0,1,0,0,-20.337,5016.4,0.25
25,3000,72.8,-80.21,87,2779.0,0,0,1,-20.759,4974.1,0.25
26,3087,75.4,-75.22,87,3278.0,0,0,1,-30.795,4720.5,0.2
27,3180,78.0,-64.44,93,4356.0,0,0,1,-30.25,4775.1,0.2
28,3267,80.5,-80.46,87,2754.0,0,0,1,-30.236,4776.4,0.2
29,3363,83.2,-67.96,96,4004.0,0,0,1,-29.963,4803.6,0.2
30,3450,85.4,-76.46,87,3154.0,0,0,1,-30.411,4758.9,0.2
31,3537,87.1,-82.53,87,2547.0,0,0,1,-41.983,4351.7,0.15
32,3768,92.4,137.59,231,9559.0,1,0,0,-31.619,4638.1,0.2
33,3852,95.8,-80.26,84,2774.0,0,0,1,-31.459,4654.1,0.2
34,3963,99.0,-70.61,111,3739.0,0,0,1,-31.437,4656.3,0.2
35,4062,101.8,-75.62,99,3238.0,0,0,1,-31.752,4624.8,0.2
36,4275,111.5,125.45,213,8345.0,1,0,0,-32.566,4543.4,0.2
37,4503,117.3,125.71,228,8371.0,1,0,0,-22.763,4773.7,0.25
38,4713,122.7,140.17,210,9817.0,1,0,0,-11.761,5123.9,0.3
39,4806,125.1,-70.04,93,3796.0,0,0,1,-11.136,5186.4,0.3
40,5037,131.1,186.75,231,14475.0,1,0,0,1.864,5736.4,0.35
41,5124,133.4,-73.8,87,3420.0,0,0,1,2.178,5767.8,0.35
42,5211,135.9,-66.88,87,4112.0,0,0,1,-8.521,5447.9,0.3
43,5310,138.8,-71.65,99,3635.0,0,0,1,-8.063,5493.7,0.3
44,5400,141.5,-65.5,90,4250.0,0,0,1,-19.298,5120.1,0.25
45,5499,144.5,-65.46,99,4254.0,0,0,1,-18.561,5193.9,0.25
46,5694,150.3,126.06,195,8406.0,1,0,0,-8.497,5450.3,0.3
47,5790,153.2,-59.71,96,4829.0,0,0,1,-8.26,5473.9,0.3
48,5877,155.8,-72.5,87,3550.0,0,0,1,-7.862,5513.8,0.3
49,6021,159.9,-41.37,144,6663.0,0,0,1,-6.533,5646.7,0.3
50,6114,161.9,-65.19,93,4281.0,0,0,1,-5.969,5703.1,0.3
51,6201,168.7,-75.29,87,3271.0,0,0,1,-5.607,5739.2,0.3
52,6288,171.2,-72.6,87,3540.0,0,0,1,-16.117,5438.3,0.25
53,6372,173.7,-84.99,84,2301.0,0,0,1,-16.353,5414.6,0.25
54,6459,176.2,-75.22,87,3278.0,0,0,1,-16.584,5391.6,0.25
55,6687,182.5,151.46,228,10946.0,1,0,0,-5.23,5777.0,0.3
56,6792,184.7,-55.0,105,5300.0,0,0,1,-14.252,5624.8,0.25
57,6891,186.8,-63.74,99,4426.0,0,0,1,-23.725,5427.5,0.2
58,6978,190.1,-74.86,87,3314.0,0,0,1,-34.477,5102.4,0.15
59,7188,196.4,136.7,210,9470.0,1,0,0,-24.139,5386.1,0.2
60,7287,199.3,-69.56,99,3844.0,0,0,1,-36.955,4854.5,0.15
61,7380,201.8,-72.74,93,3526.0,0,0,1,-36.902,4859.8,0.15
62,7557,205.5,136.8,177,9480.0,1,0,0,-26.718,5128.2,0.2
63,7641,207.9,-74.6,84,3340.0,0,0,1,-26.865,5113.4,0.2
64,7728,211.2,-73.46,87,3454.0,0,0,1,-27.264,5073.6,0.2
65,7815,213.9,-75.2,87,3280.0,0,0,1,-27.75,5024.9,0.2
66,7917,217.0,-55.6,102,5240.0,0,0,1,-36.834,4866.6,0.15
67,8016,219.4,-78.38,99,2962.0,0,0,1,-37.767,4773.3,0.15
68,8115,221.5,-64.51,99,4349.0,0,0,1,-37.367,4813.2,0.15
69,8211,227.4,-78.21,96,2979.0,0,0,1,-39.21,4629.1,0.15
70,8424,231.3,131.56,213,8956.0,1,0,0,-29.372,4862.8,0.2
