episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,120,3.3,-100.0,120,4610.0,0,0,1,-100.0,4610.0,0.0
2,216,5.2,-100.0,96,3267.0,0,0,1,-100.0,3938.5,0.0
3,312,7.2,-100.0,96,4552.0,0,0,1,-100.0,4143.0,0.0
4,417,9.3,-100.0,105,3534.0,0,0,1,-100.0,3990.8,0.0
5,510,11.2,-100.0,93,3624.0,0,0,1,-100.0,3917.4,0.0
6,714,15.3,100.0,204,8350.0,1,0,0,-66.667,4656.2,0.167
7,798,17.0,-100.0,84,3265.0,0,0,1,-71.429,4457.4,0.143
8,888,18.9,-100.0,90,2727.0,0,0,1,-75.0,4241.1,0.125
9,972,20.4,-100.0,84,3459.0,0,0,1,-77.778,4154.2,0.111
10,1074,22.4,-100.0,102,4048.0,0,0,1,-80.0,4143.6,0.1
11,1293,26.9,100.0,219,10692.0,1,0,0,-63.636,4738.9,0.182
12,1392,28.9,-100.0,99,3831.0,0,0,1,-66.667,4663.2,0.167
13,1476,30.6,-100.0,84,2454.0,0,0,1,-69.231,4493.3,0.154
14,1569,32.5,-100.0,93,3695.0,0,0,1,-71.429,4436.3,0.143
15,1674,34.7,-100.0,105,3869.0,0,0,1,-73.333,4398.5,0.133
16,1899,39.2,100.0,225,9972.0,1,0,0,-62.5,4746.8,0.188
17,1998,41.2,-100.0,99,3765.0,0,0,1,-64.706,4689.1,0.176
18,2085,46.5,-100.0,87,2814.0,0,0,1,-66.667,4584.9,0.167
19,2169,48.3,-100.0,84,3301.0,0,0,1,-68.421,4517.3,0.158
20,2265,50.4,-100.0,96,4038.0,0,0,1,-70.0,4493.4,0.15
21,2349,52.2,-100.0,84,3032.0,0,0,1,-70.0,4414.4,0.15
22,2628,58.2,100.0,279,9831.0,1,0,0,-60.0,4742.6,0.2
23,2841,62.0,100.0,213,9380.0,1,0,0,-50.0,4984.1,0.25
24,2946,63.9,-100.0,105,5037.0,0,0,1,-50.0,5059.2,0.25
25,3198,68.5,100.0,252,8357.0,1,0,0,-40.0,5295.9,0.3
26,3294,70.5,-100.0,96,3152.0,0,0,1,-50.0,5035.9,0.25
27,3387,72.5,-100.0,93,2868.0,0,0,1,-50.0,5016.1,0.25
28,3474,74.4,-100.0,87,3137.0,0,0,1,-50.0,5036.6,0.25
29,3690,79.0,100.0,216,8635.0,1,0,0,-40.0,5295.4,0.3
30,3801,81.4,-100.0,111,4181.0,0,0,1,-40.0,5302.1,0.3
31,4068,87.1,100.0,267,10075.0,1,0,0,-40.0,5271.2,0.3
32,4167,92.4,-100.0,99,4486.0,0,0,1,-40.0,5303.9,0.3
33,4260,94.4,-100.0,93,3203.0,0,0,1,-40.0,5341.4,0.3
34,4476,99.0,100.0,216,8659.0,1,0,0,-30.0,5589.6,0.35
35,4683,103.5,100.0,207,9803.0,1,0,0,-20.0,5886.3,0.4
36,4917,108.5,100.0,234,9982.0,1,0,0,-20.0,5886.8,0.4
37,5118,112.8,100.0,201,10603.0,1,0,0,-10.0,6228.7,0.45
